~~~~~~~~~~~~~~~
Text File : monsname_deu.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Ei
MONSNAME_257	Lohgock
MONSNAME_258	Hydropi
MONSNAME_259	Moorabbel
MONSNAME_260	Sumpex
MONSNAME_261	Fiffyen
MONSNAME_262	Magnayen
MONSNAME_263	Zigzachs
MONSNAME_264	Geradaks
MONSNAME_265	Waumpel
MONSNAME_266	Schaloko
MONSNAME_267	Papinella
MONSNAME_268	Panekon
MONSNAME_269	Pudox
MONSNAME_270	Loturzel
MONSNAME_271	Lombrero
MONSNAME_272	Kappalores
MONSNAME_273	Samurzel
MONSNAME_274	Blanas
MONSNAME_275	Tengulist
MONSNAME_276	Schwalbini
MONSNAME_277	Schwalboss
MONSNAME_278	Wingull
MONSNAME_279	Pelipper
MONSNAME_280	Trasla
MONSNAME_281	Kirlia
MONSNAME_282	Guardevoir
MONSNAME_283	Gehweiher
MONSNAME_284	Maskeregen
MONSNAME_285	Knilz
MONSNAME_286	Kapilz
MONSNAME_287	Bummelz
MONSNAME_288	Muntier
MONSNAME_289	Letarking
MONSNAME_290	Nincada
MONSNAME_291	Ninjask
MONSNAME_292	Ninjatom
MONSNAME_293	Flurmel
MONSNAME_294	Krakeelo
MONSNAME_295	Krawumms
MONSNAME_296	Makuhita
MONSNAME_297	Hariyama
MONSNAME_298	Azurill
MONSNAME_299	Nasgnet
MONSNAME_300	Eneco
MONSNAME_301	Enekoro
MONSNAME_302	Zobiris
MONSNAME_303	Flunkifer
MONSNAME_304	Stollunior
MONSNAME_305	Stollrak
MONSNAME_306	Stolloss
MONSNAME_307	Meditie
MONSNAME_308	Meditalis
MONSNAME_309	Frizelbliz
MONSNAME_310	Voltenso
MONSNAME_311	Plusle
MONSNAME_312	Minun
MONSNAME_313	Volbeat
MONSNAME_314	Illumise
MONSNAME_315	Roselia
MONSNAME_316	Schluppuck
MONSNAME_317	Schlukwech
MONSNAME_318	Kanivanha
MONSNAME_319	Tohaido
MONSNAME_320	Wailmer
MONSNAME_321	Wailord
MONSNAME_322	Camaub
MONSNAME_323	Camerupt
MONSNAME_324	Qurtel
MONSNAME_325	Spoink
MONSNAME_326	Groink
MONSNAME_327	Pandir
MONSNAME_328	Knacklion
MONSNAME_329	Vibrava
MONSNAME_330	Libelldra
MONSNAME_331	Tuska
MONSNAME_332	Noktuska
MONSNAME_333	Wablu
MONSNAME_334	Altaria
MONSNAME_335	Sengo
MONSNAME_336	Vipitis
MONSNAME_337	Lunastein
MONSNAME_338	Sonnfel
MONSNAME_339	Schmerbe
MONSNAME_340	Welsar
MONSNAME_341	Krebscorps
MONSNAME_342	Krebutack
MONSNAME_343	Puppance
MONSNAME_344	Lepumentas
MONSNAME_345	Liliep
MONSNAME_346	Wielie
MONSNAME_347	Anorith
MONSNAME_348	Armaldo
MONSNAME_349	Barschwa
MONSNAME_350	Milotic
MONSNAME_351	Formeo
MONSNAME_352	Kecleon
MONSNAME_353	Shuppet
MONSNAME_354	Banette
MONSNAME_355	Zwirrlicht
MONSNAME_356	Zwirrklop
MONSNAME_357	Tropius
MONSNAME_358	Palimpalim
MONSNAME_359	Absol
MONSNAME_360	Isso
MONSNAME_361	Schneppke
MONSNAME_362	Firnontor
MONSNAME_363	Seemops
MONSNAME_364	Seejong
MONSNAME_365	Walraisa
MONSNAME_366	Perlu
MONSNAME_367	Aalabyss
MONSNAME_368	Saganabyss
MONSNAME_369	Relicanth
MONSNAME_370	Liebiskus
MONSNAME_371	Kindwurm
MONSNAME_372	Draschel
MONSNAME_373	Brutalanda
MONSNAME_374	Tanhel
MONSNAME_375	Metang
MONSNAME_376	Metagross
MONSNAME_377	Regirock
MONSNAME_378	Regice
MONSNAME_379	Registeel
MONSNAME_380	Latias
MONSNAME_381	Latios
MONSNAME_382	Kyogre
MONSNAME_383	Groudon
MONSNAME_384	Rayquaza
MONSNAME_385	Jirachi
MONSNAME_386	Deoxys
MONSNAME_387	Chelast
MONSNAME_388	Chelcarain
MONSNAME_389	Chelterrar
MONSNAME_390	Panflam
MONSNAME_391	Panpyro
MONSNAME_392	Panferno
MONSNAME_393	Plinfa
MONSNAME_394	Pliprin
MONSNAME_395	Impoleon
MONSNAME_396	Staralili
MONSNAME_397	Staravia
MONSNAME_398	Staraptor
MONSNAME_399	Bidiza
MONSNAME_400	Bidifas
MONSNAME_401	Zirpurze
MONSNAME_402	Zirpeise
MONSNAME_403	Sheinux
MONSNAME_404	Luxio
MONSNAME_405	Luxtra
MONSNAME_406	Knospi
MONSNAME_407	Roserade
MONSNAME_408	Koknodon
MONSNAME_409	Rameidon
MONSNAME_410	Schilterus
MONSNAME_411	Bollterus
MONSNAME_412	Burmy
MONSNAME_413	Burmadame
MONSNAME_414	Moterpel
MONSNAME_415	Wadribie
MONSNAME_416	Honweisel
MONSNAME_417	Pachirisu
MONSNAME_418	Bamelin
MONSNAME_419	Bojelin
MONSNAME_420	Kikugi
MONSNAME_421	Kinoso
MONSNAME_422	Schalellos
MONSNAME_423	Gastrodon
MONSNAME_424	Ambidiffel
MONSNAME_425	Driftlon
MONSNAME_426	Drifzepeli
MONSNAME_427	Haspiror
MONSNAME_428	Schlapor
MONSNAME_429	Traunmagil
MONSNAME_430	Kramshef
MONSNAME_431	Charmian
MONSNAME_432	Shnurgarst
MONSNAME_433	Klingplim
MONSNAME_434	Skunkapuh
MONSNAME_435	Skuntank
MONSNAME_436	Bronzel
MONSNAME_437	Bronzong
MONSNAME_438	Mobai
MONSNAME_439	Pantimimi
MONSNAME_440	Wonneira
MONSNAME_441	Plaudagei
MONSNAME_442	Kryppuk
MONSNAME_443	Kaumalat
MONSNAME_444	Knarksel
MONSNAME_445	Knakrack
MONSNAME_446	Mampfaxo
MONSNAME_447	Riolu
MONSNAME_448	Lucario
MONSNAME_449	Hippopotas
MONSNAME_450	Hippoterus
MONSNAME_451	Pionskora
MONSNAME_452	Piondragi
MONSNAME_453	Glibunkel
MONSNAME_454	Toxiquak
MONSNAME_455	Venuflibis
MONSNAME_456	Finneon
MONSNAME_457	Lumineon
MONSNAME_458	Mantirps
MONSNAME_459	Shnebedeck
MONSNAME_460	Rexblisar
MONSNAME_461	Snibunna
MONSNAME_462	Magnezone
MONSNAME_463	Schlurplek
MONSNAME_464	Rihornior
MONSNAME_465	Tangoloss
MONSNAME_466	Elevoltek
MONSNAME_467	Magbrant
MONSNAME_468	Togekiss
MONSNAME_469	Yanmega
MONSNAME_470	Folipurba
MONSNAME_471	Glaziola
MONSNAME_472	Skorgro
MONSNAME_473	Mamutel
MONSNAME_474	Porygon-Z
MONSNAME_475	Galagladi
MONSNAME_476	Voluminas
MONSNAME_477	Zwirrfinst
MONSNAME_478	Frosdedje
MONSNAME_479	Rotom
MONSNAME_480	Selfe
MONSNAME_481	Vesprit
MONSNAME_482	Tobutz
MONSNAME_483	Dialga
MONSNAME_484	Palkia
MONSNAME_485	Heatran
MONSNAME_486	Regigigas
MONSNAME_487	Giratina
MONSNAME_488	Cresselia
MONSNAME_489	Phione
MONSNAME_490	Manaphy
MONSNAME_491	Darkrai
MONSNAME_492	Shaymin
MONSNAME_493	Arceus
MONSNAME_494	Victini
MONSNAME_495	Serpifeu
MONSNAME_496	Efoserp
MONSNAME_497	Serpiroyal
MONSNAME_498	Floink
MONSNAME_499	Ferkokel
MONSNAME_500	Flambirex
MONSNAME_501	Ottaro
MONSNAME_502	Zwottronin
MONSNAME_503	Admurai
MONSNAME_504	Nagelotz
MONSNAME_505	Kukmarda
MONSNAME_506	Yorkleff
MONSNAME_507	Terribark
MONSNAME_508	Bissbark
MONSNAME_509	Felilou
MONSNAME_510	Kleoparda
MONSNAME_511	Vegimak
MONSNAME_512	Vegichita
MONSNAME_513	Grillmak
MONSNAME_514	Grillchita
MONSNAME_515	Sodamak
MONSNAME_516	Sodachita
MONSNAME_517	Somniam
MONSNAME_518	Somnivora
MONSNAME_519	Dusselgurr
MONSNAME_520	Navitaub
MONSNAME_521	Fasasnob
MONSNAME_522	Elezeba
MONSNAME_523	Zebritz
MONSNAME_524	Kiesling
MONSNAME_525	Sedimantur
MONSNAME_526	Brockoloss
MONSNAME_527	Fleknoil
MONSNAME_528	Fletiamo
MONSNAME_529	Rotomurf
MONSNAME_530	Stalobor
MONSNAME_531	Ohrdoch
MONSNAME_532	Praktibalk
MONSNAME_533	Strepoli
MONSNAME_534	Meistagrif
MONSNAME_535	Schallquap
MONSNAME_536	Mebrana
MONSNAME_537	Branawarz
MONSNAME_538	Jiutesto
MONSNAME_539	Karadonis
MONSNAME_540	Strawickl
MONSNAME_541	Folikon
MONSNAME_542	Matrifol
MONSNAME_543	Toxiped
MONSNAME_544	Rollum
MONSNAME_545	Cerapendra
MONSNAME_546	Waumboll
MONSNAME_547	Elfun
MONSNAME_548	Lilminip
MONSNAME_549	Dressella
MONSNAME_550	Barschuft
MONSNAME_551	Ganovil
MONSNAME_552	Rokkaiman
MONSNAME_553	Rabigator
MONSNAME_554	Flampion
MONSNAME_555	Flampivian
MONSNAME_556	Maracamba
MONSNAME_557	Lithomith
MONSNAME_558	Castellith
MONSNAME_559	Zurrokex
MONSNAME_560	Irokex
MONSNAME_561	Symvolara
MONSNAME_562	Makabaja
MONSNAME_563	Echnatoll
MONSNAME_564	Galapaflos
MONSNAME_565	Karippas
MONSNAME_566	Flapteryx
MONSNAME_567	Aeropteryx
MONSNAME_568	Unratütox
MONSNAME_569	Deponitox
MONSNAME_570	Zorua
MONSNAME_571	Zoroark
MONSNAME_572	Picochilla
MONSNAME_573	Chillabell
MONSNAME_574	Mollimorba
MONSNAME_575	Hypnomorba
MONSNAME_576	Morbitesse
MONSNAME_577	Monozyto
MONSNAME_578	Mitodos
MONSNAME_579	Zytomega
MONSNAME_580	Piccolente
MONSNAME_581	Swaroness
MONSNAME_582	Gelatini
MONSNAME_583	Gelatroppo
MONSNAME_584	Gelatwino
MONSNAME_585	Sesokitz
MONSNAME_586	Kronjuwild
MONSNAME_587	Emolga
MONSNAME_588	Laukaps
MONSNAME_589	Cavalanzas
MONSNAME_590	Tarnpignon
MONSNAME_591	Hutsassa
MONSNAME_592	Quabbel
MONSNAME_593	Apoquallyp
MONSNAME_594	Mamolida
MONSNAME_595	Wattzapf
MONSNAME_596	Voltula
MONSNAME_597	Kastadur
MONSNAME_598	Tentantel
MONSNAME_599	Klikk
MONSNAME_600	Kliklak
MONSNAME_601	Klikdiklak
MONSNAME_602	Zapplardin
MONSNAME_603	Zapplalek
MONSNAME_604	Zapplarang
MONSNAME_605	Pygraulon
MONSNAME_606	Megalon
MONSNAME_607	Lichtel
MONSNAME_608	Laternecto
MONSNAME_609	Skelabra
MONSNAME_610	Milza
MONSNAME_611	Sharfax
MONSNAME_612	Maxax
MONSNAME_613	Petznief
MONSNAME_614	Siberio
MONSNAME_615	Frigometri
MONSNAME_616	Schnuthelm
MONSNAME_617	Hydragil
MONSNAME_618	Flunschlik
MONSNAME_619	Lin-Fu
MONSNAME_620	Wie-Shu
MONSNAME_621	Shardrago
MONSNAME_622	Golbit
MONSNAME_623	Golgantes
MONSNAME_624	Gladiantri
MONSNAME_625	Caesurio
MONSNAME_626	Bisofank
MONSNAME_627	Geronimatz
MONSNAME_628	Washakwil
MONSNAME_629	Skallyk
MONSNAME_630	Grypheldis
MONSNAME_631	Furnifraß
MONSNAME_632	Fermicula
MONSNAME_633	Kapuno
MONSNAME_634	Duodino
MONSNAME_635	Trikephalo
MONSNAME_636	Ignivor
MONSNAME_637	Ramoth
MONSNAME_638	Kobalium
MONSNAME_639	Terrakium
MONSNAME_640	Viridium
MONSNAME_641	Boreos
MONSNAME_642	Voltolos
MONSNAME_643	Reshiram
MONSNAME_644	Zekrom
MONSNAME_645	Demeteros
MONSNAME_646	Kyurem
MONSNAME_647	Keldeo
MONSNAME_648	Meloetta
MONSNAME_649	Genesect
MONSNAME_650	Igamaro
MONSNAME_651	Igastarnish
MONSNAME_652	Brigaron
MONSNAME_653	Fynx
MONSNAME_654	Rutena
MONSNAME_655	Fennexis
MONSNAME_656	Froxy
MONSNAME_657	Amphizel
MONSNAME_658	Quajutsu
MONSNAME_659	Scoppel
MONSNAME_660	Grebbit
MONSNAME_661	Dartiri
MONSNAME_662	Dartignis
MONSNAME_663	Fiaro
MONSNAME_664	Purmel
MONSNAME_665	Puponcho
MONSNAME_666	Vivillon
MONSNAME_667	Leufeo
MONSNAME_668	Pyroleo
MONSNAME_669	Flabébé
MONSNAME_670	Floette
MONSNAME_671	Florges
MONSNAME_672	Mähikel
MONSNAME_673	Chevrumm
MONSNAME_674	Pam-Pam
MONSNAME_675	Pandagro
MONSNAME_676	Coiffwaff
MONSNAME_677	Psiau
MONSNAME_678	Psiaugon
MONSNAME_679	Gramokles
MONSNAME_680	Duokles
MONSNAME_681	Durengard
MONSNAME_682	Parfi
MONSNAME_683	Parfinesse
MONSNAME_684	Flauschling
MONSNAME_685	Sabbaione
MONSNAME_686	Iscalar
MONSNAME_687	Calamanero
MONSNAME_688	Bithora
MONSNAME_689	Thanathora
MONSNAME_690	Algitt
MONSNAME_691	Tandrak
MONSNAME_692	Scampisto
MONSNAME_693	Wummer
MONSNAME_694	Eguana
MONSNAME_695	Elezard
MONSNAME_696	Balgoras
MONSNAME_697	Monargoras
MONSNAME_698	Amarino
MONSNAME_699	Amagarga
MONSNAME_700	Feelinara
MONSNAME_701	Resladero
MONSNAME_702	Dedenne
MONSNAME_703	Rocara
MONSNAME_704	Viscora
MONSNAME_705	Viscargot
MONSNAME_706	Viscogon
MONSNAME_707	Clavion
MONSNAME_708	Paragoni
MONSNAME_709	Trombork
MONSNAME_710	Irrbis
MONSNAME_711	Pumpdjinn
MONSNAME_712	Arktip
MONSNAME_713	Arktilas
MONSNAME_714	eF-eM
MONSNAME_715	UHaFnir
MONSNAME_716	Xerneas
MONSNAME_717	Yveltal
MONSNAME_718	Zygarde
MONSNAME_719	Diancie
MONSNAME_720	Hoopa
MONSNAME_721	Volcanion
MONSNAME_722	Bauz
MONSNAME_723	Arboretoss
MONSNAME_724	Silvarro
MONSNAME_725	Flamiau
MONSNAME_726	Miezunder
MONSNAME_727	Fuegro
MONSNAME_728	Robball
MONSNAME_729	Marikeck
MONSNAME_730	Primarene
MONSNAME_731	Peppeck
MONSNAME_732	Trompeck
MONSNAME_733	Tukanon
MONSNAME_734	Mangunior
MONSNAME_735	Manguspektor
MONSNAME_736	Mabula
MONSNAME_737	Akkup
MONSNAME_738	Donarion
MONSNAME_739	Krabbox
MONSNAME_740	Krawell
MONSNAME_741	Choreogel
MONSNAME_742	Wommel
MONSNAME_743	Bandelby
MONSNAME_744	Wuffels
MONSNAME_745	Wolwerock
MONSNAME_746	Lusardin
MONSNAME_747	Garstella
MONSNAME_748	Aggrostella
MONSNAME_749	Pampuli
MONSNAME_750	Pampross
MONSNAME_751	Araqua
MONSNAME_752	Aranestro
MONSNAME_753	Imantis
MONSNAME_754	Mantidea
MONSNAME_755	Bubungus
MONSNAME_756	Lamellux
MONSNAME_757	Molunk
MONSNAME_758	Amfira
MONSNAME_759	Velursi
MONSNAME_760	Kosturso
MONSNAME_761	Frubberl
MONSNAME_762	Frubaila
MONSNAME_763	Fruyal
MONSNAME_764	Curelei
MONSNAME_765	Kommandutan
MONSNAME_766	Quartermak
MONSNAME_767	Reißlaus
MONSNAME_768	Tectass
MONSNAME_769	Sankabuh
MONSNAME_770	Colossand
MONSNAME_771	Gufa
MONSNAME_772	Typ:Null
MONSNAME_773	Amigento
MONSNAME_774	Meteno
MONSNAME_775	Koalelu
MONSNAME_776	Tortunator
MONSNAME_777	Togedemaru
MONSNAME_778	Mimigma
MONSNAME_779	Knirfish
MONSNAME_780	Sen-Long
MONSNAME_781	Moruda
MONSNAME_782	Miniras
MONSNAME_783	Mediras
MONSNAME_784	Grandiras
MONSNAME_785	Kapu-Riki
MONSNAME_786	Kapu-Fala
MONSNAME_787	Kapu-Toro
MONSNAME_788	Kapu-Kime
MONSNAME_789	Cosmog
MONSNAME_790	Cosmovum
MONSNAME_791	Solgaleo
MONSNAME_792	Lunala
MONSNAME_793	Anego
MONSNAME_794	Masskito
MONSNAME_795	Schabelle
MONSNAME_796	Voltriant
MONSNAME_797	Kaguron
MONSNAME_798	Katagami
MONSNAME_799	Schlingking
MONSNAME_800	Necrozma
MONSNAME_801	Magearna
MONSNAME_802	Marshadow
MONSNAME_803	Venicro
MONSNAME_804	Agoyon
MONSNAME_805	Muramura
MONSNAME_806	Kopplosio
MONSNAME_807	Zeraora
MONSNAME_808	Meltan
MONSNAME_809	Melmetal
MONSNAME_810	Chimpep
MONSNAME_811	Chimstix
MONSNAME_812	Gortrom
MONSNAME_813	Hopplo
MONSNAME_814	Kickerlo
MONSNAME_815	Liberlo
MONSNAME_816	Memmeon
MONSNAME_817	Phlegleon
MONSNAME_818	Intelleon
MONSNAME_819	Raffel
MONSNAME_820	Schlaraffel
MONSNAME_821	Meikro
MONSNAME_822	Kranoviz
MONSNAME_823	Krarmor
MONSNAME_824	Sensect
MONSNAME_825	Keradar
MONSNAME_826	Maritellit
MONSNAME_827	Kleptifux
MONSNAME_828	Gaunux
MONSNAME_829	Cottini
MONSNAME_830	Cottomi
MONSNAME_831	Wolly
MONSNAME_832	Zwollock
MONSNAME_833	Kamehaps
MONSNAME_834	Kamalm
MONSNAME_835	Voldi
MONSNAME_836	Bellektro
MONSNAME_837	Klonkett
MONSNAME_838	Wagong
MONSNAME_839	Montecarbo
MONSNAME_840	Knapfel
MONSNAME_841	Drapfel
MONSNAME_842	Schlapfel
MONSNAME_843	Salanga
MONSNAME_844	Sanaconda
MONSNAME_845	Urgl
MONSNAME_846	Pikuda
MONSNAME_847	Barrakiefa
MONSNAME_848	Toxel
MONSNAME_849	Riffex
MONSNAME_850	Thermopod
MONSNAME_851	Infernopod
MONSNAME_852	Klopptopus
MONSNAME_853	Kaocto
MONSNAME_854	Fatalitee
MONSNAME_855	Mortipot
MONSNAME_856	Brimova
MONSNAME_857	Brimano
MONSNAME_858	Silembrim
MONSNAME_859	Bähmon
MONSNAME_860	Pelzebub
MONSNAME_861	Olangaar
MONSNAME_862	Barrikadax
MONSNAME_863	Mauzinger
MONSNAME_864	Gorgasonn
MONSNAME_865	Lauchzelot
MONSNAME_866	Pantifrost
MONSNAME_867	Oghnatoll
MONSNAME_868	Hokumil
MONSNAME_869	Pokusan
MONSNAME_870	Legios
MONSNAME_871	Britzigel
MONSNAME_872	Snomnom
MONSNAME_873	Mottineva
MONSNAME_874	Humanolith
MONSNAME_875	Kubuin
MONSNAME_876	Servol
MONSNAME_877	Morpeko
MONSNAME_878	Kupfanti
MONSNAME_879	Patinaraja
MONSNAME_880	Lectragon
MONSNAME_881	Lecryodon
MONSNAME_882	Pescragon
MONSNAME_883	Pescryodon
MONSNAME_884	Duraludon
MONSNAME_885	Grolldra
MONSNAME_886	Phandra
MONSNAME_887	Katapuldra
MONSNAME_888	Zacian
MONSNAME_889	Zamazenta
MONSNAME_890	Endynalos

~~~~~~~~~~~~~~~
Text File : place_name_spe_deu.msbt
~~~~~~~~~~~~~~~
MAPNAME_KANTO	Kanto-Region
MAPNAME_ZYOTO	Johto-Region
MAPNAME_HOUEN	Hoenn-Region
MAPNAME_SINOH	Sinnoh-Region
MAPNAME_TOOKUHANARETATOTI	Entferntes Land
MAPNAME_IISHU	Einall-Region
MAPNAME_KAROSU	Kalos-Region
MAPNAME_HOLOHOLO	Pokémon GO
MAPNAME_VCKANTOH	Kanto-Region
MAPNAME_AROORA	Alola-Region
MAPNAME_VCZYOTO	Johto-Region
MAPNAME_LETSGO	Kanto-Region
MAPNAME_GARARU	Galar-Region
MAPNAME_HOME	Pokémon HOME

~~~~~~~~~~~~~~~
Text File : ribbon_deu.msbt
~~~~~~~~~~~~~~~
mes_ribbon_name_001	Band des Kalos-Champs
mes_ribbon_name_002	Band des Champs
mes_ribbon_name_003	Band des Sinnoh-Champs
mes_ribbon_name_004	Zutraulichkeitsband
mes_ribbon_name_005	Trainingsband
mes_ribbon_name_006	Profikampfband
mes_ribbon_name_007	Meisterkampfband
mes_ribbon_name_008	Fleiß-Band
mes_ribbon_name_009	Band der Wachsamkeit
