~~~~~~~~~~~~~~~
Text File : itemname_fra.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	Aucun objet
MONSNAME_092	Fantominus
MONSNAME_093	Spectrum
MONSNAME_094	Ectoplasma
MONSNAME_095	Onix
MONSNAME_096	Soporifik
MONSNAME_097	Hypnomade
MONSNAME_098	Krabby
MONSNAME_099	Krabboss
MONSNAME_100	Voltorbe
MONSNAME_101	Électrode
MONSNAME_102	Noeunoeuf
MONSNAME_103	Noadkoko
MONSNAME_104	Osselait
MONSNAME_105	Ossatueur
MONSNAME_106	Kicklee
MONSNAME_107	Tygnon
MONSNAME_108	Excelangue
MONSNAME_109	Smogo
MONSNAME_110	Smogogo
MONSNAME_111	Rhinocorne
MONSNAME_112	Rhinoféros
MONSNAME_113	Leveinard
MONSNAME_114	Saquedeneu
MONSNAME_115	Kangourex
MONSNAME_116	Hypotrempe
MONSNAME_117	Hypocéan
MONSNAME_118	Poissirène
MONSNAME_119	Poissoroy
MONSNAME_120	Stari
MONSNAME_121	Staross
MONSNAME_122	M. Mime
MONSNAME_123	Insécateur
MONSNAME_124	Lippoutou
MONSNAME_125	Élektek
MONSNAME_126	Magmar
MONSNAME_127	Scarabrute
MONSNAME_128	Tauros
MONSNAME_129	Magicarpe
MONSNAME_130	Léviator
MONSNAME_131	Lokhlass
MONSNAME_132	Métamorph
MONSNAME_133	Évoli
MONSNAME_134	Aquali
MONSNAME_135	Voltali
MONSNAME_136	Pyroli
MONSNAME_137	Porygon
MONSNAME_138	Amonita
MONSNAME_139	Amonistar
MONSNAME_140	Kabuto
MONSNAME_141	Kabutops
MONSNAME_142	Ptéra
MONSNAME_143	Ronflex
MONSNAME_144	Artikodin
MONSNAME_145	Électhor
MONSNAME_146	Sulfura
MONSNAME_147	Minidraco
MONSNAME_148	Draco
MONSNAME_149	Dracolosse
MONSNAME_150	Mewtwo
MONSNAME_151	Mew
MONSNAME_152	Germignon
MONSNAME_153	Macronium
MONSNAME_154	Méganium
MONSNAME_155	Héricendre
MONSNAME_156	Feurisson
MONSNAME_157	Typhlosion
MONSNAME_158	Kaiminus
MONSNAME_159	Crocrodil
MONSNAME_160	Aligatueur
MONSNAME_161	Fouinette
MONSNAME_162	Fouinar
MONSNAME_163	Hoothoot
MONSNAME_164	Noarfang
MONSNAME_165	Coxy
MONSNAME_166	Coxyclaque
MONSNAME_167	Mimigal
MONSNAME_168	Migalos
MONSNAME_169	Nostenfer
MONSNAME_170	Loupio
MONSNAME_171	Lanturn
MONSNAME_172	Pichu
MONSNAME_173	Mélo
MONSNAME_174	Toudoudou
MONSNAME_175	Togepi
MONSNAME_176	Togetic
MONSNAME_177	Natu
MONSNAME_178	Xatu
MONSNAME_179	Wattouat
MONSNAME_180	Lainergie
MONSNAME_181	Pharamp
MONSNAME_182	Joliflor
MONSNAME_183	Marill
MONSNAME_184	Azumarill
MONSNAME_185	Simularbre
MONSNAME_186	Tarpaud
MONSNAME_187	Granivol
MONSNAME_188	Floravol
MONSNAME_189	Cotovol
MONSNAME_190	Capumain
MONSNAME_191	Tournegrin
MONSNAME_192	Héliatronc
MONSNAME_193	Yanma
MONSNAME_194	Axoloto
MONSNAME_195	Maraiste
MONSNAME_196	Mentali
MONSNAME_197	Noctali
MONSNAME_198	Cornèbre
MONSNAME_199	Roigada
MONSNAME_200	Feuforêve
MONSNAME_201	Zarbi
MONSNAME_202	Qulbutoké
MONSNAME_203	Girafarig
MONSNAME_204	Pomdepik
MONSNAME_205	Foretress
MONSNAME_206	Insolourdo
MONSNAME_207	Scorplane
MONSNAME_208	Steelix
MONSNAME_209	Snubbull
MONSNAME_210	Granbull
MONSNAME_211	Qwilfish
MONSNAME_212	Cizayox
MONSNAME_213	Caratroc
MONSNAME_214	Scarhino
MONSNAME_215	Farfuret
MONSNAME_216	Teddiursa
MONSNAME_217	Ursaring
MONSNAME_218	Limagma
MONSNAME_219	Volcaropod
MONSNAME_220	Marcacrin
MONSNAME_221	Cochignon
MONSNAME_222	Corayon
MONSNAME_223	Rémoraid
MONSNAME_224	Octillery
MONSNAME_225	Cadoizo
MONSNAME_226	Démanta
MONSNAME_227	Airmure
MONSNAME_228	Malosse
MONSNAME_229	Démolosse
MONSNAME_230	Hyporoi
MONSNAME_231	Phanpy
MONSNAME_232	Donphan
MONSNAME_233	Porygon2
MONSNAME_234	Cerfrousse
MONSNAME_235	Queulorior
MONSNAME_236	Debugant
MONSNAME_237	Kapoera
MONSNAME_238	Lippouti
MONSNAME_239	Élekid
MONSNAME_240	Magby
MONSNAME_241	Écrémeuh
MONSNAME_242	Leuphorie
MONSNAME_243	Raikou
MONSNAME_244	Entei
MONSNAME_245	Suicune
MONSNAME_246	Embrylex
MONSNAME_247	Ymphect
MONSNAME_248	Tyranocif
MONSNAME_249	Lugia
MONSNAME_250	Ho-Oh
MONSNAME_251	Celebi
MONSNAME_252	Arcko
MONSNAME_253	Massko
MONSNAME_254	Jungko
MONSNAME_255	Poussifeu
MONSNAME_256	Galifeu
MONSNAME_257	Braségali
MONSNAME_258	Gobou
MONSNAME_259	Flobio
MONSNAME_260	Laggron
MONSNAME_261	Medhyèna
MONSNAME_262	Grahyèna
MONSNAME_263	Zigzaton
MONSNAME_264	Linéon
MONSNAME_265	Chenipotte
MONSNAME_266	Armulys
MONSNAME_267	Charmillon
MONSNAME_268	Blindalys
MONSNAME_269	Papinox
MONSNAME_270	Nénupiot
MONSNAME_271	Lombre
MONSNAME_272	Ludicolo
MONSNAME_273	Grainipiot
MONSNAME_274	Pifeuil
MONSNAME_275	Tengalice
MONSNAME_276	Nirondelle
MONSNAME_277	Hélédelle
MONSNAME_278	Goélise
MONSNAME_279	Bekipan
MONSNAME_280	Tarsal
MONSNAME_281	Kirlia
MONSNAME_282	Gardevoir
MONSNAME_283	Arakdo
MONSNAME_284	Maskadra
MONSNAME_285	Balignon
MONSNAME_286	Chapignon
MONSNAME_287	Parecool
MONSNAME_288	Vigoroth
MONSNAME_289	Monaflèmit
MONSNAME_290	Ningale
MONSNAME_291	Ninjask
MONSNAME_292	Munja
MONSNAME_293	Chuchmur
MONSNAME_294	Ramboum
MONSNAME_295	Brouhabam
MONSNAME_296	Makuhita
MONSNAME_297	Hariyama
MONSNAME_298	Azurill
MONSNAME_299	Tarinor
MONSNAME_300	Skitty
MONSNAME_301	Delcatty
MONSNAME_302	Ténéfix
MONSNAME_303	Mysdibule
MONSNAME_304	Galekid
MONSNAME_305	Galegon
MONSNAME_306	Galeking
MONSNAME_307	Méditikka
MONSNAME_308	Charmina
MONSNAME_309	Dynavolt
MONSNAME_310	Élecsprint
MONSNAME_311	Posipi
MONSNAME_312	Négapi
MONSNAME_313	Muciole
MONSNAME_314	Lumivole
MONSNAME_315	Rosélia
MONSNAME_316	Gloupti
MONSNAME_317	Avaltout
MONSNAME_318	Carvanha
MONSNAME_319	Sharpedo
MONSNAME_320	Wailmer
MONSNAME_321	Wailord
MONSNAME_322	Chamallot
MONSNAME_323	Camérupt
MONSNAME_324	Chartor
MONSNAME_325	Spoink
MONSNAME_326	Groret
MONSNAME_327	Spinda
MONSNAME_328	Kraknoix
MONSNAME_329	Vibraninf
MONSNAME_330	Libégon
MONSNAME_331	Cacnea
MONSNAME_332	Cacturne
MONSNAME_333	Tylton
MONSNAME_334	Altaria
MONSNAME_335	Mangriff
MONSNAME_336	Séviper
MONSNAME_337	Séléroc
MONSNAME_338	Solaroc
MONSNAME_339	Barloche
MONSNAME_340	Barbicha
MONSNAME_341	Écrapince
MONSNAME_342	Colhomard
MONSNAME_343	Balbuto
MONSNAME_344	Kaorine
MONSNAME_345	Lilia
MONSNAME_346	Vacilys
MONSNAME_347	Anorith
MONSNAME_348	Armaldo
MONSNAME_349	Barpau
MONSNAME_350	Milobellus
MONSNAME_351	Morphéo
MONSNAME_352	Kecleon
MONSNAME_353	Polichombr
MONSNAME_354	Branette
MONSNAME_355	Skelénox
MONSNAME_356	Téraclope
MONSNAME_357	Tropius
MONSNAME_358	Éoko
MONSNAME_359	Absol
MONSNAME_360	Okéoké
MONSNAME_361	Stalgamin
MONSNAME_362	Oniglali
MONSNAME_363	Obalie
MONSNAME_364	Phogleur
MONSNAME_365	Kaimorse
MONSNAME_366	Coquiperl
MONSNAME_367	Serpang
MONSNAME_368	Rosabyss
MONSNAME_369	Relicanth
MONSNAME_370	Lovdisc
MONSNAME_371	Draby
MONSNAME_372	Drackhaus
MONSNAME_373	Drattak
MONSNAME_374	Terhal
MONSNAME_375	Métang
MONSNAME_376	Métalosse
MONSNAME_377	Regirock
MONSNAME_378	Regice
MONSNAME_379	Registeel
MONSNAME_380	Latias
MONSNAME_381	Latios
MONSNAME_382	Kyogre
MONSNAME_383	Groudon
MONSNAME_384	Rayquaza
MONSNAME_385	Jirachi
MONSNAME_386	Deoxys
MONSNAME_387	Tortipouss
MONSNAME_388	Boskara
MONSNAME_389	Torterra
MONSNAME_390	Ouisticram
MONSNAME_391	Chimpenfeu
MONSNAME_392	Simiabraz
MONSNAME_393	Tiplouf
MONSNAME_394	Prinplouf
MONSNAME_395	Pingoléon
MONSNAME_396	Étourmi
MONSNAME_397	Étourvol
MONSNAME_398	Étouraptor
MONSNAME_399	Keunotor
MONSNAME_400	Castorno
MONSNAME_401	Crikzik
MONSNAME_402	Mélokrik
MONSNAME_403	Lixy
MONSNAME_404	Luxio
MONSNAME_405	Luxray
MONSNAME_406	Rozbouton
MONSNAME_407	Roserade
MONSNAME_408	Kranidos
MONSNAME_409	Charkos
MONSNAME_410	Dinoclier
MONSNAME_411	Bastiodon
MONSNAME_412	Cheniti
MONSNAME_413	Cheniselle
MONSNAME_414	Papilord
MONSNAME_415	Apitrini
MONSNAME_416	Apireine
MONSNAME_417	Pachirisu
MONSNAME_418	Mustébouée
MONSNAME_419	Mustéflott
MONSNAME_420	Ceribou
MONSNAME_421	Ceriflor
MONSNAME_422	Sancoki
MONSNAME_423	Tritosor
MONSNAME_424	Capidextre
MONSNAME_425	Baudrive
MONSNAME_426	Grodrive
MONSNAME_427	Laporeille
MONSNAME_428	Lockpin
MONSNAME_429	Magirêve
MONSNAME_430	Corboss
MONSNAME_431	Chaglam
MONSNAME_432	Chaffreux
MONSNAME_433	Korillon
MONSNAME_434	Moufouette
MONSNAME_435	Moufflair
MONSNAME_436	Archéomire
MONSNAME_437	Archéodong
MONSNAME_438	Manzaï
MONSNAME_439	Mime Jr.
MONSNAME_440	Ptiravi
MONSNAME_441	Pijako
MONSNAME_442	Spiritomb
MONSNAME_443	Griknot
MONSNAME_444	Carmache
MONSNAME_445	Carchacrok
MONSNAME_446	Goinfrex
MONSNAME_447	Riolu
MONSNAME_448	Lucario
MONSNAME_449	Hippopotas
MONSNAME_450	Hippodocus
MONSNAME_451	Rapion
MONSNAME_452	Drascore
MONSNAME_453	Cradopaud
MONSNAME_454	Coatox
MONSNAME_455	Vortente
MONSNAME_456	Écayon
MONSNAME_457	Luminéon
MONSNAME_458	Babimanta
MONSNAME_459	Blizzi
MONSNAME_460	Blizzaroi
MONSNAME_461	Dimoret
MONSNAME_462	Magnézone
MONSNAME_463	Coudlangue
MONSNAME_464	Rhinastoc
MONSNAME_465	Bouldeneu
MONSNAME_466	Élekable
MONSNAME_467	Maganon
MONSNAME_468	Togekiss
MONSNAME_469	Yanmega
MONSNAME_470	Phyllali
MONSNAME_471	Givrali
MONSNAME_472	Scorvol
MONSNAME_473	Mammochon
MONSNAME_474	Porygon-Z
MONSNAME_475	Gallame
MONSNAME_476	Tarinorme
MONSNAME_477	Noctunoir
MONSNAME_478	Momartik
MONSNAME_479	Motisma
MONSNAME_480	Créhelf
MONSNAME_481	Créfollet
MONSNAME_482	Créfadet
MONSNAME_483	Dialga
MONSNAME_484	Palkia
MONSNAME_485	Heatran
MONSNAME_486	Regigigas
MONSNAME_487	Giratina
MONSNAME_488	Cresselia
MONSNAME_489	Phione
MONSNAME_490	Manaphy
MONSNAME_491	Darkrai
MONSNAME_492	Shaymin
MONSNAME_493	Arceus
MONSNAME_494	Victini
MONSNAME_495	Vipélierre
MONSNAME_496	Lianaja
MONSNAME_497	Majaspic
MONSNAME_498	Gruikui
MONSNAME_499	Grotichon
MONSNAME_500	Roitiflam
MONSNAME_501	Moustillon
MONSNAME_502	Mateloutre
MONSNAME_503	Clamiral
MONSNAME_504	Ratentif
MONSNAME_505	Miradar
MONSNAME_506	Ponchiot
MONSNAME_507	Ponchien
MONSNAME_508	Mastouffe
MONSNAME_509	Chacripan
MONSNAME_510	Léopardus
MONSNAME_511	Feuillajou
MONSNAME_512	Feuiloutan
MONSNAME_513	Flamajou
MONSNAME_514	Flamoutan
MONSNAME_515	Flotajou
MONSNAME_516	Flotoutan
MONSNAME_517	Munna
MONSNAME_518	Mushana
MONSNAME_519	Poichigeon
MONSNAME_520	Colombeau
MONSNAME_521	Déflaisan
MONSNAME_522	Zébibron
MONSNAME_523	Zéblitz
MONSNAME_524	Nodulithe
MONSNAME_525	Géolithe
MONSNAME_526	Gigalithe
MONSNAME_527	Chovsourir
MONSNAME_528	Rhinolove
MONSNAME_529	Rototaupe
MONSNAME_530	Minotaupe
MONSNAME_531	Nanméouïe
MONSNAME_532	Charpenti
MONSNAME_533	Ouvrifier
MONSNAME_534	Bétochef
MONSNAME_535	Tritonde
MONSNAME_536	Batracné
MONSNAME_537	Crapustule
MONSNAME_538	Judokrak
MONSNAME_539	Karaclée
MONSNAME_540	Larveyette
MONSNAME_541	Couverdure
MONSNAME_542	Manternel
MONSNAME_543	Venipatte
MONSNAME_544	Scobolide
MONSNAME_545	Brutapode
MONSNAME_546	Doudouvet
MONSNAME_547	Farfaduvet
MONSNAME_548	Chlorobule
MONSNAME_549	Fragilady
MONSNAME_550	Bargantua
MONSNAME_551	Mascaïman
MONSNAME_552	Escroco
MONSNAME_553	Crocorible
MONSNAME_554	Darumarond
MONSNAME_555	Darumacho
MONSNAME_556	Maracachi
MONSNAME_557	Crabicoque
MONSNAME_558	Crabaraque
MONSNAME_559	Baggiguane
MONSNAME_560	Baggaïd
MONSNAME_561	Cryptéro
MONSNAME_562	Tutafeh
MONSNAME_563	Tutankafer
MONSNAME_564	Carapagos
MONSNAME_565	Mégapagos
MONSNAME_566	Arkéapti
MONSNAME_567	Aéroptéryx
MONSNAME_568	Miamiasme
MONSNAME_569	Miasmax
MONSNAME_570	Zorua
MONSNAME_571	Zoroark
MONSNAME_572	Chinchidou
MONSNAME_573	Pashmilla
MONSNAME_574	Scrutella
MONSNAME_575	Mesmérella
MONSNAME_576	Sidérella
MONSNAME_577	Nucléos
MONSNAME_578	Méios
MONSNAME_579	Symbios
MONSNAME_580	Couaneton
MONSNAME_581	Lakmécygne
MONSNAME_582	Sorbébé
MONSNAME_583	Sorboul
MONSNAME_584	Sorbouboul
MONSNAME_585	Vivaldaim
MONSNAME_586	Haydaim
MONSNAME_587	Emolga
MONSNAME_588	Carabing
MONSNAME_589	Lançargot
MONSNAME_590	Trompignon
MONSNAME_591	Gaulet
MONSNAME_592	Viskuse
MONSNAME_593	Moyade
MONSNAME_594	Mamanbo
MONSNAME_595	Statitik
MONSNAME_596	Mygavolt
MONSNAME_597	Grindur
MONSNAME_598	Noacier
MONSNAME_599	Tic
MONSNAME_600	Clic
MONSNAME_601	Cliticlic
MONSNAME_602	Anchwatt
MONSNAME_603	Lampéroie
MONSNAME_604	Ohmassacre
MONSNAME_605	Lewsor
MONSNAME_606	Neitram
MONSNAME_607	Funécire
MONSNAME_608	Mélancolux
MONSNAME_609	Lugulabre
MONSNAME_610	Coupenotte
MONSNAME_611	Incisache
MONSNAME_612	Tranchodon
MONSNAME_613	Polarhume
MONSNAME_614	Polagriffe
MONSNAME_615	Hexagel
MONSNAME_616	Escargaume
MONSNAME_617	Limaspeed
MONSNAME_618	Limonde
MONSNAME_619	Kungfouine
MONSNAME_620	Shaofouine
MONSNAME_621	Drakkarmin
MONSNAME_622	Gringolem
MONSNAME_623	Golemastoc
MONSNAME_624	Scalpion
MONSNAME_625	Scalproie
MONSNAME_626	Frison
MONSNAME_627	Furaiglon
MONSNAME_628	Gueriaigle
MONSNAME_629	Vostourno
MONSNAME_630	Vaututrice
MONSNAME_631	Aflamanoir
MONSNAME_632	Fermite
MONSNAME_633	Solochi
MONSNAME_634	Diamat
MONSNAME_635	Trioxhydre
MONSNAME_636	Pyronille
MONSNAME_637	Pyrax
MONSNAME_638	Cobaltium
MONSNAME_639	Terrakium
MONSNAME_640	Viridium
MONSNAME_641	Boréas
MONSNAME_642	Fulguris
MONSNAME_643	Reshiram
MONSNAME_644	Zekrom
MONSNAME_645	Démétéros
MONSNAME_646	Kyurem
MONSNAME_647	Keldeo
MONSNAME_648	Meloetta
MONSNAME_649	Genesect
MONSNAME_650	Marisson
MONSNAME_651	Boguérisse
MONSNAME_652	Blindépique
MONSNAME_653	Feunnec
MONSNAME_654	Roussil
MONSNAME_655	Goupelin
MONSNAME_656	Grenousse
MONSNAME_657	Croâporal
MONSNAME_658	Amphinobi
MONSNAME_659	Sapereau
MONSNAME_660	Excavarenne
MONSNAME_661	Passerouge
MONSNAME_662	Braisillon
MONSNAME_663	Flambusard
MONSNAME_664	Lépidonille
MONSNAME_665	Pérégrain
MONSNAME_666	Prismillon
MONSNAME_667	Hélionceau
MONSNAME_668	Némélios
MONSNAME_669	Flabébé
MONSNAME_670	Floette
MONSNAME_671	Florges
MONSNAME_672	Cabriolaine
MONSNAME_673	Chevroum
MONSNAME_674	Pandespiègle
MONSNAME_675	Pandarbare
MONSNAME_676	Couafarel
MONSNAME_677	Psystigri
MONSNAME_678	Mistigrix
MONSNAME_679	Monorpale
MONSNAME_680	Dimoclès
MONSNAME_681	Exagide
MONSNAME_682	Fluvetin
MONSNAME_683	Cocotine
MONSNAME_684	Sucroquin
MONSNAME_685	Cupcanaille
MONSNAME_686	Sepiatop
MONSNAME_687	Sepiatroce
MONSNAME_688	Opermine
MONSNAME_689	Golgopathe
MONSNAME_690	Venalgue
MONSNAME_691	Kravarech
MONSNAME_692	Flingouste
MONSNAME_693	Gamblast
MONSNAME_694	Galvaran
MONSNAME_695	Iguolta
MONSNAME_696	Ptyranidur
MONSNAME_697	Rexillius
MONSNAME_698	Amagara
MONSNAME_699	Dragmara
MONSNAME_700	Nymphali
MONSNAME_701	Brutalibré
MONSNAME_702	Dedenne
MONSNAME_703	Strassie
MONSNAME_704	Mucuscule
MONSNAME_705	Colimucus
MONSNAME_706	Muplodocus
MONSNAME_707	Trousselin
MONSNAME_708	Brocélôme
MONSNAME_709	Desséliande
MONSNAME_710	Pitrouille
MONSNAME_711	Banshitrouye
MONSNAME_712	Grelaçon
MONSNAME_713	Séracrawl
MONSNAME_714	Sonistrelle
MONSNAME_715	Bruyverne
MONSNAME_716	Xerneas
MONSNAME_717	Yveltal
MONSNAME_718	Zygarde
MONSNAME_719	Diancie
MONSNAME_720	Hoopa
MONSNAME_721	Volcanion
MONSNAME_722	Brindibou
MONSNAME_723	Efflèche
MONSNAME_724	Archéduc
MONSNAME_725	Flamiaou
MONSNAME_726	Matoufeu
MONSNAME_727	Félinferno
MONSNAME_728	Otaquin
MONSNAME_729	Otarlette
MONSNAME_730	Oratoria
MONSNAME_731	Picassaut
MONSNAME_732	Piclairon
MONSNAME_733	Bazoucan
MONSNAME_734	Manglouton
MONSNAME_735	Argouste
MONSNAME_736	Larvibule
MONSNAME_737	Chrysapile
MONSNAME_738	Lucanon
MONSNAME_739	Crabagarre
MONSNAME_740	Crabominable
MONSNAME_741	Plumeline
MONSNAME_742	Bombydou
MONSNAME_743	Rubombelle
MONSNAME_744	Rocabot
MONSNAME_745	Lougaroc
MONSNAME_746	Froussardine
MONSNAME_747	Vorastérie
MONSNAME_748	Prédastérie
MONSNAME_749	Tiboudet
MONSNAME_750	Bourrinos
MONSNAME_751	Araqua
MONSNAME_752	Tarenbulle
MONSNAME_753	Mimantis
MONSNAME_754	Floramantis
MONSNAME_755	Spododo
MONSNAME_756	Lampignon
MONSNAME_757	Tritox
MONSNAME_758	Malamandre
MONSNAME_759	Nounourson
MONSNAME_760	Chelours
MONSNAME_761	Croquine
MONSNAME_762	Candine
MONSNAME_763	Sucreine
MONSNAME_764	Guérilande
MONSNAME_765	Gouroutan
MONSNAME_766	Quartermac
MONSNAME_767	Sovkipou
MONSNAME_768	Sarmuraï
MONSNAME_769	Bacabouh
MONSNAME_770	Trépassable
MONSNAME_771	Concombaffe
MONSNAME_772	Type:0
MONSNAME_773	Silvallié
MONSNAME_774	Météno
MONSNAME_775	Dodoala
MONSNAME_776	Boumata
MONSNAME_777	Togedemaru
MONSNAME_778	Mimiqui
MONSNAME_779	Denticrisse
MONSNAME_780	Draïeul
MONSNAME_781	Sinistrail
MONSNAME_782	Bébécaille
MONSNAME_783	Écaïd
MONSNAME_784	Ékaïser
MONSNAME_785	Tokorico
MONSNAME_786	Tokopiyon
MONSNAME_787	Tokotoro
MONSNAME_788	Tokopisco
MONSNAME_789	Cosmog
MONSNAME_790	Cosmovum
MONSNAME_791	Solgaleo
MONSNAME_792	Lunala
MONSNAME_793	Zéroïd
MONSNAME_794	Mouscoto
MONSNAME_795	Cancrelove
MONSNAME_796	Câblifère
MONSNAME_797	Bamboiselle
MONSNAME_798	Katagami
MONSNAME_799	Engloutyran
MONSNAME_800	Necrozma
MONSNAME_801	Magearna
MONSNAME_802	Marshadow
MONSNAME_803	Vémini
MONSNAME_804	Mandrillon
MONSNAME_805	Ama-Ama
MONSNAME_806	Pierroteknik
MONSNAME_807	Zeraora
MONSNAME_808	Meltan
MONSNAME_809	Melmetal
MONSNAME_810	Ouistempo
MONSNAME_811	Badabouin
MONSNAME_812	Gorythmic
MONSNAME_813	Flambino
MONSNAME_814	Lapyro
MONSNAME_815	Pyrobut
MONSNAME_816	Larméléon
MONSNAME_817	Arrozard
MONSNAME_818	Lézargus
MONSNAME_819	Rongourmand
MONSNAME_820	Rongrigou
MONSNAME_821	Minisange
MONSNAME_822	Bleuseille
MONSNAME_823	Corvaillus
MONSNAME_824	Larvadar
MONSNAME_825	Coléodôme
MONSNAME_826	Astronelle
MONSNAME_827	Goupilou
MONSNAME_828	Roublenard
MONSNAME_829	Tournicoton
MONSNAME_830	Blancoton
MONSNAME_831	Moumouton
MONSNAME_832	Moumouflon
MONSNAME_833	Khélocrok
MONSNAME_834	Torgamord
MONSNAME_835	Voltoutou
MONSNAME_836	Fulgudog
MONSNAME_837	Charbi
MONSNAME_838	Wagomine
MONSNAME_839	Monthracite
MONSNAME_840	Verpom
MONSNAME_841	Pomdrapi
MONSNAME_842	Dratatin
MONSNAME_843	Dunaja
MONSNAME_844	Dunaconda
MONSNAME_845	Nigosier
MONSNAME_846	Embrochet
MONSNAME_847	Hastacuda
MONSNAME_848	Toxizap
MONSNAME_849	Salarsen
MONSNAME_850	Grillepattes
MONSNAME_851	Scolocendre
MONSNAME_852	Poulpaf
MONSNAME_853	Krakos
MONSNAME_854	Théffroi
MONSNAME_855	Polthégeist
MONSNAME_856	Bibichut
MONSNAME_857	Chapotus
MONSNAME_858	Sorcilence
MONSNAME_859	Grimalin
MONSNAME_860	Fourbelin
MONSNAME_861	Angoliath
MONSNAME_862	Ixon
MONSNAME_863	Berserkatt
MONSNAME_864	Corayôme
MONSNAME_865	Palarticho
MONSNAME_866	M. Glaquette
MONSNAME_867	Tutétékri
MONSNAME_868	Crèmy
MONSNAME_869	Charmilly
MONSNAME_870	Hexadron
MONSNAME_871	Wattapik
MONSNAME_872	Frissonille
MONSNAME_873	Beldeneige
MONSNAME_874	Dolman
MONSNAME_875	Bekaglaçon
MONSNAME_876	Wimessir
MONSNAME_877	Morpeko
MONSNAME_878	Charibari
MONSNAME_879	Pachyradjah
MONSNAME_880	Galvagon
MONSNAME_881	Galvagla
MONSNAME_882	Hydragon
