~~~~~~~~~~~~~~~
Text File : itemname_tch.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	無
MONSNAME_113	吉利蛋
MONSNAME_114	蔓藤怪
MONSNAME_115	袋獸
MONSNAME_116	墨海馬
MONSNAME_117	海刺龍
MONSNAME_118	角金魚
MONSNAME_119	金魚王
MONSNAME_120	海星星
MONSNAME_121	寶石海星
MONSNAME_122	魔牆人偶
MONSNAME_123	飛天螳螂
MONSNAME_124	迷唇姐
MONSNAME_125	電擊獸
MONSNAME_126	鴨嘴火獸
MONSNAME_127	凱羅斯
MONSNAME_128	肯泰羅
MONSNAME_129	鯉魚王
MONSNAME_130	暴鯉龍
MONSNAME_131	拉普拉斯
MONSNAME_132	百變怪
MONSNAME_133	伊布
MONSNAME_134	水伊布
MONSNAME_135	雷伊布
MONSNAME_136	火伊布
MONSNAME_137	多邊獸
MONSNAME_138	菊石獸
MONSNAME_139	多刺菊石獸
MONSNAME_140	化石盔
MONSNAME_141	鐮刀盔
MONSNAME_142	化石翼龍
MONSNAME_143	卡比獸
MONSNAME_144	急凍鳥
MONSNAME_145	閃電鳥
MONSNAME_146	火焰鳥
MONSNAME_147	迷你龍
MONSNAME_148	哈克龍
MONSNAME_149	快龍
MONSNAME_150	超夢
MONSNAME_151	夢幻
MONSNAME_152	菊草葉
MONSNAME_153	月桂葉
MONSNAME_154	大竺葵
MONSNAME_155	火球鼠
MONSNAME_156	火岩鼠
MONSNAME_157	火爆獸
MONSNAME_158	小鋸鱷
MONSNAME_159	藍鱷
MONSNAME_160	大力鱷
MONSNAME_161	尾立
MONSNAME_162	大尾立
MONSNAME_163	咕咕
MONSNAME_164	貓頭夜鷹
MONSNAME_165	芭瓢蟲
MONSNAME_166	安瓢蟲
MONSNAME_167	圓絲蛛
MONSNAME_168	阿利多斯
MONSNAME_169	叉字蝠
MONSNAME_170	燈籠魚
MONSNAME_171	電燈怪
MONSNAME_172	皮丘
MONSNAME_173	皮寶寶
MONSNAME_174	寶寶丁
MONSNAME_175	波克比
MONSNAME_176	波克基古
MONSNAME_177	天然雀
MONSNAME_178	天然鳥
MONSNAME_179	咩利羊
MONSNAME_180	茸茸羊
MONSNAME_181	電龍
MONSNAME_182	美麗花
MONSNAME_183	瑪力露
MONSNAME_184	瑪力露麗
MONSNAME_185	樹才怪
MONSNAME_186	蚊香蛙皇
MONSNAME_187	毽子草
MONSNAME_188	毽子花
MONSNAME_189	毽子棉
MONSNAME_190	長尾怪手
MONSNAME_191	向日種子
MONSNAME_192	向日花怪
MONSNAME_193	蜻蜻蜓
MONSNAME_194	烏波
MONSNAME_195	沼王
MONSNAME_196	太陽伊布
MONSNAME_197	月亮伊布
MONSNAME_198	黑暗鴉
MONSNAME_199	呆呆王
MONSNAME_200	夢妖
MONSNAME_201	未知圖騰
MONSNAME_202	果然翁
MONSNAME_203	麒麟奇
MONSNAME_204	榛果球
MONSNAME_205	佛烈托斯
MONSNAME_206	土龍弟弟
MONSNAME_207	天蠍
MONSNAME_208	大鋼蛇
MONSNAME_209	布魯
MONSNAME_210	布魯皇
MONSNAME_211	千針魚
MONSNAME_212	巨鉗螳螂
MONSNAME_213	壺壺
MONSNAME_214	赫拉克羅斯
MONSNAME_215	狃拉
MONSNAME_216	熊寶寶
MONSNAME_217	圈圈熊
MONSNAME_218	熔岩蟲
MONSNAME_219	熔岩蝸牛
MONSNAME_220	小山豬
MONSNAME_221	長毛豬
MONSNAME_222	太陽珊瑚
MONSNAME_223	鐵炮魚
MONSNAME_224	章魚桶
MONSNAME_225	信使鳥
MONSNAME_226	巨翅飛魚
MONSNAME_227	盔甲鳥
MONSNAME_228	戴魯比
MONSNAME_229	黑魯加
MONSNAME_230	刺龍王
MONSNAME_231	小小象
MONSNAME_232	頓甲
MONSNAME_233	多邊獸Ⅱ
MONSNAME_234	驚角鹿
MONSNAME_235	圖圖犬
MONSNAME_236	無畏小子
MONSNAME_237	戰舞郎
MONSNAME_238	迷唇娃
MONSNAME_239	電擊怪
MONSNAME_240	鴨嘴寶寶
MONSNAME_241	大奶罐
MONSNAME_242	幸福蛋
MONSNAME_243	雷公
MONSNAME_244	炎帝
MONSNAME_245	水君
MONSNAME_246	幼基拉斯
MONSNAME_247	沙基拉斯
MONSNAME_248	班基拉斯
MONSNAME_249	洛奇亞
MONSNAME_250	鳳王
MONSNAME_251	時拉比
MONSNAME_252	木守宮
MONSNAME_253	森林蜥蜴
MONSNAME_254	蜥蜴王
MONSNAME_255	火稚雞
MONSNAME_256	力壯雞
MONSNAME_257	火焰雞
MONSNAME_258	水躍魚
MONSNAME_259	沼躍魚
MONSNAME_260	巨沼怪
MONSNAME_261	土狼犬
MONSNAME_262	大狼犬
MONSNAME_263	蛇紋熊
MONSNAME_264	直衝熊
MONSNAME_265	刺尾蟲
MONSNAME_266	甲殼繭
MONSNAME_267	狩獵鳳蝶
MONSNAME_268	盾甲繭
MONSNAME_269	毒粉蛾
MONSNAME_270	蓮葉童子
MONSNAME_271	蓮帽小童
MONSNAME_272	樂天河童
MONSNAME_273	橡實果
MONSNAME_274	長鼻葉
MONSNAME_275	狡猾天狗
MONSNAME_276	傲骨燕
MONSNAME_277	大王燕
MONSNAME_278	長翅鷗
MONSNAME_279	大嘴鷗
MONSNAME_280	拉魯拉絲
MONSNAME_281	奇魯莉安
MONSNAME_282	沙奈朵
MONSNAME_283	溜溜糖球
MONSNAME_284	雨翅蛾
MONSNAME_285	蘑蘑菇
MONSNAME_286	斗笠菇
MONSNAME_287	懶人獺
MONSNAME_288	過動猿
MONSNAME_289	請假王
MONSNAME_290	土居忍士
MONSNAME_291	鐵面忍者
MONSNAME_292	脫殼忍者
MONSNAME_293	咕妞妞
MONSNAME_294	吼爆彈
MONSNAME_295	爆音怪
MONSNAME_296	幕下力士
MONSNAME_297	鐵掌力士
MONSNAME_298	露力麗
MONSNAME_299	朝北鼻
MONSNAME_300	向尾喵
MONSNAME_301	優雅貓
MONSNAME_302	勾魂眼
MONSNAME_303	大嘴娃
MONSNAME_304	可可多拉
MONSNAME_305	可多拉
MONSNAME_306	波士可多拉
MONSNAME_307	瑪沙那
MONSNAME_308	恰雷姆
MONSNAME_309	落雷獸
MONSNAME_310	雷電獸
MONSNAME_311	正電拍拍
MONSNAME_312	負電拍拍
MONSNAME_313	電螢蟲
MONSNAME_314	甜甜螢
MONSNAME_315	毒薔薇
MONSNAME_316	溶食獸
MONSNAME_317	吞食獸
MONSNAME_318	利牙魚
MONSNAME_319	巨牙鯊
MONSNAME_320	吼吼鯨
MONSNAME_321	吼鯨王
MONSNAME_322	呆火駝
MONSNAME_323	噴火駝
MONSNAME_324	煤炭龜
MONSNAME_325	跳跳豬
MONSNAME_326	噗噗豬
MONSNAME_327	晃晃斑
MONSNAME_328	大顎蟻
MONSNAME_329	超音波幼蟲
MONSNAME_330	沙漠蜻蜓
MONSNAME_331	刺球仙人掌
MONSNAME_332	夢歌仙人掌
MONSNAME_333	青綿鳥
MONSNAME_334	七夕青鳥
MONSNAME_335	貓鼬斬
MONSNAME_336	飯匙蛇
MONSNAME_337	月石
MONSNAME_338	太陽岩
MONSNAME_339	泥泥鰍
MONSNAME_340	鯰魚王
MONSNAME_341	龍蝦小兵
MONSNAME_342	鐵螯龍蝦
MONSNAME_343	天秤偶
MONSNAME_344	念力土偶
MONSNAME_345	觸手百合
MONSNAME_346	搖籃百合
MONSNAME_347	太古羽蟲
MONSNAME_348	太古盔甲
MONSNAME_349	醜醜魚
MONSNAME_350	美納斯
MONSNAME_351	飄浮泡泡
MONSNAME_352	變隱龍
MONSNAME_353	怨影娃娃
MONSNAME_354	詛咒娃娃
MONSNAME_355	夜巡靈
MONSNAME_356	彷徨夜靈
MONSNAME_357	熱帶龍
MONSNAME_358	風鈴鈴
MONSNAME_359	阿勃梭魯
MONSNAME_360	小果然
MONSNAME_361	雪童子
MONSNAME_362	冰鬼護
MONSNAME_363	海豹球
MONSNAME_364	海魔獅
MONSNAME_365	帝牙海獅
MONSNAME_366	珍珠貝
MONSNAME_367	獵斑魚
MONSNAME_368	櫻花魚
MONSNAME_369	古空棘魚
MONSNAME_370	愛心魚
MONSNAME_371	寶貝龍
MONSNAME_372	甲殼龍
MONSNAME_373	暴飛龍
MONSNAME_374	鐵啞鈴
MONSNAME_375	金屬怪
MONSNAME_376	巨金怪
MONSNAME_377	雷吉洛克
MONSNAME_378	雷吉艾斯
MONSNAME_379	雷吉斯奇魯
MONSNAME_380	拉帝亞斯
MONSNAME_381	拉帝歐斯
MONSNAME_382	蓋歐卡
MONSNAME_383	固拉多
MONSNAME_384	烈空坐
MONSNAME_385	基拉祈
MONSNAME_386	代歐奇希斯
MONSNAME_387	草苗龜
MONSNAME_388	樹林龜
MONSNAME_389	土台龜
MONSNAME_390	小火焰猴
MONSNAME_391	猛火猴
MONSNAME_392	烈焰猴
MONSNAME_393	波加曼
MONSNAME_394	波皇子
MONSNAME_395	帝王拿波
MONSNAME_396	姆克兒
MONSNAME_397	姆克鳥
MONSNAME_398	姆克鷹
MONSNAME_399	大牙狸
MONSNAME_400	大尾狸
MONSNAME_401	圓法師
MONSNAME_402	音箱蟀
MONSNAME_403	小貓怪
MONSNAME_404	勒克貓
MONSNAME_405	倫琴貓
MONSNAME_406	含羞苞
MONSNAME_407	羅絲雷朵
MONSNAME_408	頭蓋龍
MONSNAME_409	戰槌龍
MONSNAME_410	盾甲龍
MONSNAME_411	護城龍
MONSNAME_412	結草兒
MONSNAME_413	結草貴婦
MONSNAME_414	紳士蛾
MONSNAME_415	三蜜蜂
MONSNAME_416	蜂女王
MONSNAME_417	帕奇利茲
MONSNAME_418	泳圈鼬
MONSNAME_419	浮潛鼬
MONSNAME_420	櫻花寶
MONSNAME_421	櫻花兒
MONSNAME_422	無殼海兔
MONSNAME_423	海兔獸
MONSNAME_424	雙尾怪手
MONSNAME_425	飄飄球
MONSNAME_426	隨風球
MONSNAME_427	捲捲耳
MONSNAME_428	長耳兔
MONSNAME_429	夢妖魔
MONSNAME_430	烏鴉頭頭
MONSNAME_431	魅力喵
MONSNAME_432	東施喵
MONSNAME_433	鈴鐺響
MONSNAME_434	臭鼬噗
MONSNAME_435	坦克臭鼬
MONSNAME_436	銅鏡怪
MONSNAME_437	青銅鐘
MONSNAME_438	盆才怪
MONSNAME_439	魔尼尼
MONSNAME_440	小福蛋
MONSNAME_441	聒噪鳥
MONSNAME_442	花岩怪
MONSNAME_443	圓陸鯊
MONSNAME_444	尖牙陸鯊
MONSNAME_445	烈咬陸鯊
MONSNAME_446	小卡比獸
MONSNAME_447	利歐路
MONSNAME_448	路卡利歐
MONSNAME_449	沙河馬
MONSNAME_450	河馬獸
MONSNAME_451	鉗尾蠍
MONSNAME_452	龍王蠍
MONSNAME_453	不良蛙
MONSNAME_454	毒骷蛙
MONSNAME_455	尖牙籠
MONSNAME_456	螢光魚
MONSNAME_457	霓虹魚
MONSNAME_458	小球飛魚
MONSNAME_459	雪笠怪
MONSNAME_460	暴雪王
MONSNAME_461	瑪狃拉
MONSNAME_462	自爆磁怪
MONSNAME_463	大舌舔
MONSNAME_464	超甲狂犀
MONSNAME_465	巨蔓藤
MONSNAME_466	電擊魔獸
MONSNAME_467	鴨嘴炎獸
MONSNAME_468	波克基斯
MONSNAME_469	遠古巨蜓
MONSNAME_470	葉伊布
MONSNAME_471	冰伊布
MONSNAME_472	天蠍王
MONSNAME_473	象牙豬
MONSNAME_474	多邊獸Ｚ
MONSNAME_475	艾路雷朵
MONSNAME_476	大朝北鼻
MONSNAME_477	黑夜魔靈
MONSNAME_478	雪妖女
MONSNAME_479	洛托姆
MONSNAME_480	由克希
MONSNAME_481	艾姆利多
MONSNAME_482	亞克諾姆
MONSNAME_483	帝牙盧卡
MONSNAME_484	帕路奇亞
MONSNAME_485	席多藍恩
MONSNAME_486	雷吉奇卡斯
MONSNAME_487	騎拉帝納
MONSNAME_488	克雷色利亞
MONSNAME_489	霏歐納
MONSNAME_490	瑪納霏
MONSNAME_491	達克萊伊
MONSNAME_492	謝米
MONSNAME_493	阿爾宙斯
MONSNAME_494	比克提尼
MONSNAME_495	藤藤蛇
MONSNAME_496	青藤蛇
MONSNAME_497	君主蛇
MONSNAME_498	暖暖豬
MONSNAME_499	炒炒豬
MONSNAME_500	炎武王
MONSNAME_501	水水獺
MONSNAME_502	雙刃丸
MONSNAME_503	大劍鬼
MONSNAME_504	探探鼠
MONSNAME_505	步哨鼠
MONSNAME_506	小約克
MONSNAME_507	哈約克
MONSNAME_508	長毛狗
MONSNAME_509	扒手貓
MONSNAME_510	酷豹
MONSNAME_511	花椰猴
MONSNAME_512	花椰猿
MONSNAME_513	爆香猴
MONSNAME_514	爆香猿
MONSNAME_515	冷水猴
MONSNAME_516	冷水猿
MONSNAME_517	食夢夢
MONSNAME_518	夢夢蝕
MONSNAME_519	豆豆鴿
MONSNAME_520	咕咕鴿
MONSNAME_521	高傲雉雞
MONSNAME_522	斑斑馬
MONSNAME_523	雷電斑馬
MONSNAME_524	石丸子
MONSNAME_525	地幔岩
MONSNAME_526	龐岩怪
MONSNAME_527	滾滾蝙蝠
MONSNAME_528	心蝙蝠
MONSNAME_529	螺釘地鼠
MONSNAME_530	龍頭地鼠
MONSNAME_531	差不多娃娃
MONSNAME_532	搬運小匠
MONSNAME_533	鐵骨土人
MONSNAME_534	修建老匠
MONSNAME_535	圓蝌蚪
MONSNAME_536	藍蟾蜍
MONSNAME_537	蟾蜍王
MONSNAME_538	投摔鬼
MONSNAME_539	打擊鬼
MONSNAME_540	蟲寶包
MONSNAME_541	寶包繭
MONSNAME_542	保母蟲
MONSNAME_543	百足蜈蚣
MONSNAME_544	車輪毬
MONSNAME_545	蜈蚣王
MONSNAME_546	木棉球
MONSNAME_547	風妖精
MONSNAME_548	百合根娃娃
MONSNAME_549	裙兒小姐
MONSNAME_550	野蠻鱸魚
MONSNAME_551	黑眼鱷
MONSNAME_552	混混鱷
MONSNAME_553	流氓鱷
MONSNAME_554	火紅不倒翁
MONSNAME_555	達摩狒狒
MONSNAME_556	沙鈴仙人掌
MONSNAME_557	石居蟹
MONSNAME_558	岩殿居蟹
MONSNAME_559	滑滑小子
MONSNAME_560	頭巾混混
MONSNAME_561	象徵鳥
MONSNAME_562	哭哭面具
MONSNAME_563	死神棺
MONSNAME_564	原蓋海龜
MONSNAME_565	肋骨海龜
MONSNAME_566	始祖小鳥
MONSNAME_567	始祖大鳥
MONSNAME_568	破破袋
MONSNAME_569	灰塵山
MONSNAME_570	索羅亞
MONSNAME_571	索羅亞克
MONSNAME_572	泡沫栗鼠
MONSNAME_573	奇諾栗鼠
MONSNAME_574	哥德寶寶
MONSNAME_575	哥德小童
MONSNAME_576	哥德小姐
MONSNAME_577	單卵細胞球
MONSNAME_578	雙卵細胞球
MONSNAME_579	人造細胞卵
MONSNAME_580	鴨寶寶
MONSNAME_581	舞天鵝
MONSNAME_582	迷你冰
MONSNAME_583	多多冰
MONSNAME_584	雙倍多多冰
MONSNAME_585	四季鹿
MONSNAME_586	萌芽鹿
MONSNAME_587	電飛鼠
MONSNAME_588	蓋蓋蟲
MONSNAME_589	騎士蝸牛
MONSNAME_590	哎呀球菇
MONSNAME_591	敗露球菇
MONSNAME_592	輕飄飄
MONSNAME_593	胖嘟嘟
MONSNAME_594	保母曼波
MONSNAME_595	電電蟲
MONSNAME_596	電蜘蛛
MONSNAME_597	種子鐵球
MONSNAME_598	堅果啞鈴
MONSNAME_599	齒輪兒
MONSNAME_600	齒輪組
MONSNAME_601	齒輪怪
MONSNAME_602	麻麻小魚
MONSNAME_603	麻麻鰻
MONSNAME_604	麻麻鰻魚王
MONSNAME_605	小灰怪
MONSNAME_606	大宇怪
MONSNAME_607	燭光靈
MONSNAME_608	燈火幽靈
MONSNAME_609	水晶燈火靈
MONSNAME_610	牙牙
MONSNAME_611	斧牙龍
MONSNAME_612	雙斧戰龍
MONSNAME_613	噴嚏熊
MONSNAME_614	凍原熊
MONSNAME_615	幾何雪花
MONSNAME_616	小嘴蝸
MONSNAME_617	敏捷蟲
MONSNAME_618	泥巴魚
MONSNAME_619	功夫鼬
MONSNAME_620	師父鼬
MONSNAME_621	赤面龍
MONSNAME_622	泥偶小人
MONSNAME_623	泥偶巨人
MONSNAME_624	駒刀小兵
MONSNAME_625	劈斬司令
MONSNAME_626	爆炸頭水牛
MONSNAME_627	毛頭小鷹
MONSNAME_628	勇士雄鷹
MONSNAME_629	禿鷹丫頭
MONSNAME_630	禿鷹娜
MONSNAME_631	熔蟻獸
MONSNAME_632	鐵蟻
MONSNAME_633	單首龍
MONSNAME_634	雙首暴龍
MONSNAME_635	三首惡龍
MONSNAME_636	燃燒蟲
MONSNAME_637	火神蛾
MONSNAME_638	勾帕路翁
MONSNAME_639	代拉基翁
MONSNAME_640	畢力吉翁
MONSNAME_641	龍捲雲
MONSNAME_642	雷電雲
MONSNAME_643	萊希拉姆
MONSNAME_644	捷克羅姆
MONSNAME_645	土地雲
MONSNAME_646	酋雷姆
MONSNAME_647	凱路迪歐
MONSNAME_648	美洛耶塔
MONSNAME_649	蓋諾賽克特
MONSNAME_650	哈力栗
MONSNAME_651	胖胖哈力
MONSNAME_652	布里卡隆
MONSNAME_653	火狐狸
MONSNAME_654	長尾火狐
MONSNAME_655	妖火紅狐
MONSNAME_656	呱呱泡蛙
MONSNAME_657	呱頭蛙
MONSNAME_658	甲賀忍蛙
MONSNAME_659	掘掘兔
MONSNAME_660	掘地兔
MONSNAME_661	小箭雀
MONSNAME_662	火箭雀
MONSNAME_663	烈箭鷹
MONSNAME_664	粉蝶蟲
MONSNAME_665	粉蝶蛹
MONSNAME_666	彩粉蝶
MONSNAME_667	小獅獅
MONSNAME_668	火炎獅
MONSNAME_669	花蓓蓓
MONSNAME_670	花葉蒂
MONSNAME_671	花潔夫人
MONSNAME_672	坐騎小羊
MONSNAME_673	坐騎山羊
MONSNAME_674	頑皮熊貓
MONSNAME_675	流氓熊貓
MONSNAME_676	多麗米亞
MONSNAME_677	妙喵
MONSNAME_678	超能妙喵
MONSNAME_679	獨劍鞘
MONSNAME_680	雙劍鞘
MONSNAME_681	堅盾劍怪
MONSNAME_682	粉香香
MONSNAME_683	芳香精
MONSNAME_684	綿綿泡芙
MONSNAME_685	胖甜妮
MONSNAME_686	好啦魷
MONSNAME_687	烏賊王
MONSNAME_688	龜腳腳
MONSNAME_689	龜足巨鎧
MONSNAME_690	垃垃藻
MONSNAME_691	毒藻龍
MONSNAME_692	鐵臂槍蝦
MONSNAME_693	鋼炮臂蝦
MONSNAME_694	傘電蜥
MONSNAME_695	光電傘蜥
MONSNAME_696	寶寶暴龍
MONSNAME_697	怪顎龍
MONSNAME_698	冰雪龍
MONSNAME_699	冰雪巨龍
MONSNAME_700	仙子伊布
MONSNAME_701	摔角鷹人
MONSNAME_702	咚咚鼠
MONSNAME_703	小碎鑽
MONSNAME_704	黏黏寶
MONSNAME_705	黏美兒
MONSNAME_706	黏美龍
MONSNAME_707	鑰圈兒
MONSNAME_708	小木靈
MONSNAME_709	朽木妖
MONSNAME_710	南瓜精
MONSNAME_711	南瓜怪人
MONSNAME_712	冰寶
MONSNAME_713	冰岩怪
MONSNAME_714	嗡蝠
MONSNAME_715	音波龍
MONSNAME_716	哲爾尼亞斯
MONSNAME_717	伊裴爾塔爾
MONSNAME_718	基格爾德
MONSNAME_719	蒂安希
MONSNAME_720	胡帕
MONSNAME_721	波爾凱尼恩
MONSNAME_722	木木梟
MONSNAME_723	投羽梟
MONSNAME_724	狙射樹梟
MONSNAME_725	火斑喵
MONSNAME_726	炎熱喵
MONSNAME_727	熾焰咆哮虎
MONSNAME_728	球球海獅
MONSNAME_729	花漾海獅
MONSNAME_730	西獅海壬
MONSNAME_731	小篤兒
MONSNAME_732	喇叭啄鳥
MONSNAME_733	銃嘴大鳥
MONSNAME_734	貓鼬少
MONSNAME_735	貓鼬探長
MONSNAME_736	強顎雞母蟲
MONSNAME_737	蟲電寶
MONSNAME_738	鍬農炮蟲
MONSNAME_739	好勝蟹
MONSNAME_740	好勝毛蟹
MONSNAME_741	花舞鳥
MONSNAME_742	萌虻
MONSNAME_743	蝶結萌虻
MONSNAME_744	岩狗狗
MONSNAME_745	鬃岩狼人
MONSNAME_746	弱丁魚
MONSNAME_747	好壞星
MONSNAME_748	超壞星
MONSNAME_749	泥驢仔
MONSNAME_750	重泥挽馬
MONSNAME_751	滴蛛
MONSNAME_752	滴蛛霸
MONSNAME_753	偽螳草
MONSNAME_754	蘭螳花
MONSNAME_755	睡睡菇
MONSNAME_756	燈罩夜菇
MONSNAME_757	夜盜火蜥
MONSNAME_758	焰后蜥
MONSNAME_759	童偶熊
MONSNAME_760	穿著熊
MONSNAME_761	甜竹竹
MONSNAME_762	甜舞妮
MONSNAME_763	甜冷美后
MONSNAME_764	花療環環
MONSNAME_765	智揮猩
MONSNAME_766	投擲猴
MONSNAME_767	膽小蟲
MONSNAME_768	具甲武者
MONSNAME_769	沙丘娃
MONSNAME_770	噬沙堡爺
MONSNAME_771	拳海參
MONSNAME_772	屬性：空
MONSNAME_773	銀伴戰獸
MONSNAME_774	小隕星
MONSNAME_775	樹枕尾熊
MONSNAME_776	爆焰龜獸
MONSNAME_777	托戈德瑪爾
MONSNAME_778	謎擬Ｑ
MONSNAME_779	磨牙彩皮魚
MONSNAME_780	老翁龍
MONSNAME_781	破破舵輪
MONSNAME_782	心鱗寶
MONSNAME_783	鱗甲龍
MONSNAME_784	杖尾鱗甲龍
MONSNAME_785	卡璞・鳴鳴
MONSNAME_786	卡璞・蝶蝶
MONSNAME_787	卡璞・哞哞
MONSNAME_788	卡璞・鰭鰭
MONSNAME_789	科斯莫古
MONSNAME_790	科斯莫姆
MONSNAME_791	索爾迦雷歐
MONSNAME_792	露奈雅拉
MONSNAME_793	虛吾伊德
MONSNAME_794	爆肌蚊
MONSNAME_795	費洛美螂
MONSNAME_796	電束木
MONSNAME_797	鐵火輝夜
MONSNAME_798	紙御劍
MONSNAME_799	惡食大王
MONSNAME_800	奈克洛茲瑪
MONSNAME_801	瑪機雅娜
MONSNAME_802	瑪夏多
MONSNAME_803	毒貝比
MONSNAME_804	四顎針龍
MONSNAME_805	壘磊石
MONSNAME_806	砰頭小丑
MONSNAME_807	捷拉奧拉
MONSNAME_808	美錄坦
MONSNAME_809	美錄梅塔
MONSNAME_810	敲音猴
MONSNAME_811	啪咚猴
MONSNAME_812	轟擂金剛猩
MONSNAME_813	炎兔兒
MONSNAME_814	騰蹴小將
MONSNAME_815	閃焰王牌
MONSNAME_816	淚眼蜥
MONSNAME_817	變澀蜥
MONSNAME_818	千面避役
MONSNAME_819	貪心栗鼠
MONSNAME_820	藏飽栗鼠
MONSNAME_821	稚山雀
MONSNAME_822	藍鴉
MONSNAME_823	鋼鎧鴉
MONSNAME_824	索偵蟲
MONSNAME_825	天罩蟲
MONSNAME_826	以歐路普
MONSNAME_827	偷兒狐
MONSNAME_828	狐大盜
MONSNAME_829	幼棉棉
MONSNAME_830	白蓬蓬
MONSNAME_831	毛辮羊
MONSNAME_832	毛毛角羊
MONSNAME_833	咬咬龜
MONSNAME_834	暴噬龜
MONSNAME_835	來電汪
MONSNAME_836	逐電犬
MONSNAME_837	小炭仔
MONSNAME_838	大炭車
