~~~~~~~~~~~~~~~
Text File : monsname_ita.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Uovo
MONSNAME_064	Kadabra
MONSNAME_065	Alakazam
MONSNAME_066	Machop
MONSNAME_067	Machoke
MONSNAME_068	Machamp
MONSNAME_069	Bellsprout
MONSNAME_070	Weepinbell
MONSNAME_071	Victreebel
MONSNAME_072	Tentacool
MONSNAME_073	Tentacruel
MONSNAME_074	Geodude
MONSNAME_075	Graveler
MONSNAME_076	Golem
MONSNAME_077	Ponyta
MONSNAME_078	Rapidash
MONSNAME_079	Slowpoke
MONSNAME_080	Slowbro
MONSNAME_081	Magnemite
MONSNAME_082	Magneton
MONSNAME_083	Farfetch'd
MONSNAME_084	Doduo
MONSNAME_085	Dodrio
MONSNAME_086	Seel
MONSNAME_087	Dewgong
MONSNAME_088	Grimer
MONSNAME_089	Muk
MONSNAME_090	Shellder
MONSNAME_091	Cloyster
MONSNAME_092	Gastly
MONSNAME_093	Haunter
MONSNAME_094	Gengar
MONSNAME_095	Onix
MONSNAME_096	Drowzee
MONSNAME_097	Hypno
MONSNAME_098	Krabby
MONSNAME_099	Kingler
MONSNAME_100	Voltorb
MONSNAME_101	Electrode
MONSNAME_102	Exeggcute
MONSNAME_103	Exeggutor
MONSNAME_104	Cubone
MONSNAME_105	Marowak
MONSNAME_106	Hitmonlee
MONSNAME_107	Hitmonchan
MONSNAME_108	Lickitung
MONSNAME_109	Koffing
MONSNAME_110	Weezing
MONSNAME_111	Rhyhorn
MONSNAME_112	Rhydon
MONSNAME_113	Chansey
MONSNAME_114	Tangela
MONSNAME_115	Kangaskhan
MONSNAME_116	Horsea
MONSNAME_117	Seadra
MONSNAME_118	Goldeen
MONSNAME_119	Seaking
MONSNAME_120	Staryu
MONSNAME_121	Starmie
MONSNAME_122	Mr. Mime
MONSNAME_123	Scyther
MONSNAME_124	Jynx
MONSNAME_125	Electabuzz
MONSNAME_126	Magmar
MONSNAME_127	Pinsir
MONSNAME_128	Tauros
MONSNAME_129	Magikarp
MONSNAME_130	Gyarados
MONSNAME_131	Lapras
MONSNAME_132	Ditto
MONSNAME_133	Eevee
MONSNAME_134	Vaporeon
MONSNAME_135	Jolteon
MONSNAME_136	Flareon
MONSNAME_137	Porygon
MONSNAME_138	Omanyte
MONSNAME_139	Omastar
MONSNAME_140	Kabuto
MONSNAME_141	Kabutops
MONSNAME_142	Aerodactyl
MONSNAME_143	Snorlax
MONSNAME_144	Articuno
MONSNAME_145	Zapdos
MONSNAME_146	Moltres
MONSNAME_147	Dratini
MONSNAME_148	Dragonair
MONSNAME_149	Dragonite
MONSNAME_150	Mewtwo
MONSNAME_151	Mew
MONSNAME_152	Chikorita
MONSNAME_153	Bayleef
MONSNAME_154	Meganium
MONSNAME_155	Cyndaquil
MONSNAME_156	Quilava
MONSNAME_157	Typhlosion
MONSNAME_158	Totodile
MONSNAME_159	Croconaw
MONSNAME_160	Feraligatr
MONSNAME_161	Sentret
MONSNAME_162	Furret
MONSNAME_163	Hoothoot
MONSNAME_164	Noctowl
MONSNAME_165	Ledyba
MONSNAME_166	Ledian
MONSNAME_167	Spinarak
MONSNAME_168	Ariados
MONSNAME_169	Crobat
MONSNAME_170	Chinchou
MONSNAME_171	Lanturn
MONSNAME_172	Pichu
MONSNAME_173	Cleffa
MONSNAME_174	Igglybuff
MONSNAME_175	Togepi
MONSNAME_176	Togetic
MONSNAME_177	Natu
MONSNAME_178	Xatu
MONSNAME_179	Mareep
MONSNAME_180	Flaaffy
MONSNAME_181	Ampharos
MONSNAME_182	Bellossom
MONSNAME_183	Marill
MONSNAME_184	Azumarill
MONSNAME_185	Sudowoodo
MONSNAME_186	Politoed
MONSNAME_187	Hoppip
MONSNAME_188	Skiploom
MONSNAME_189	Jumpluff
MONSNAME_190	Aipom
MONSNAME_191	Sunkern
MONSNAME_192	Sunflora
MONSNAME_193	Yanma
MONSNAME_194	Wooper
MONSNAME_195	Quagsire
MONSNAME_196	Espeon
MONSNAME_197	Umbreon
MONSNAME_198	Murkrow
MONSNAME_199	Slowking
MONSNAME_200	Misdreavus
MONSNAME_201	Unown
MONSNAME_202	Wobbuffet
MONSNAME_203	Girafarig
MONSNAME_204	Pineco
MONSNAME_205	Forretress
MONSNAME_206	Dunsparce
MONSNAME_207	Gligar
MONSNAME_208	Steelix
MONSNAME_209	Snubbull
MONSNAME_210	Granbull
MONSNAME_211	Qwilfish
MONSNAME_212	Scizor
MONSNAME_213	Shuckle
MONSNAME_214	Heracross
MONSNAME_215	Sneasel
MONSNAME_216	Teddiursa
MONSNAME_217	Ursaring
MONSNAME_218	Slugma
MONSNAME_219	Magcargo
MONSNAME_220	Swinub
MONSNAME_221	Piloswine
MONSNAME_222	Corsola
MONSNAME_223	Remoraid
MONSNAME_224	Octillery
MONSNAME_225	Delibird
MONSNAME_226	Mantine
MONSNAME_227	Skarmory
MONSNAME_228	Houndour
MONSNAME_229	Houndoom
MONSNAME_230	Kingdra
MONSNAME_231	Phanpy
MONSNAME_232	Donphan
MONSNAME_233	Porygon2
MONSNAME_234	Stantler
MONSNAME_235	Smeargle
MONSNAME_236	Tyrogue
MONSNAME_237	Hitmontop
MONSNAME_238	Smoochum
MONSNAME_239	Elekid
MONSNAME_240	Magby
MONSNAME_241	Miltank
MONSNAME_242	Blissey
MONSNAME_243	Raikou
MONSNAME_244	Entei
MONSNAME_245	Suicune
MONSNAME_246	Larvitar
MONSNAME_247	Pupitar
MONSNAME_248	Tyranitar
MONSNAME_249	Lugia
MONSNAME_250	Ho-Oh
MONSNAME_251	Celebi
MONSNAME_252	Treecko
MONSNAME_253	Grovyle
MONSNAME_254	Sceptile
MONSNAME_255	Torchic
MONSNAME_256	Combusken
MONSNAME_257	Blaziken
MONSNAME_258	Mudkip
MONSNAME_259	Marshtomp
MONSNAME_260	Swampert
MONSNAME_261	Poochyena
MONSNAME_262	Mightyena
MONSNAME_263	Zigzagoon
MONSNAME_264	Linoone
MONSNAME_265	Wurmple
MONSNAME_266	Silcoon
MONSNAME_267	Beautifly
MONSNAME_268	Cascoon
MONSNAME_269	Dustox
MONSNAME_270	Lotad
MONSNAME_271	Lombre
MONSNAME_272	Ludicolo
MONSNAME_273	Seedot
MONSNAME_274	Nuzleaf
MONSNAME_275	Shiftry
MONSNAME_276	Taillow
MONSNAME_277	Swellow
MONSNAME_278	Wingull
MONSNAME_279	Pelipper
MONSNAME_280	Ralts
MONSNAME_281	Kirlia
MONSNAME_282	Gardevoir
MONSNAME_283	Surskit
MONSNAME_284	Masquerain
MONSNAME_285	Shroomish
MONSNAME_286	Breloom
MONSNAME_287	Slakoth
MONSNAME_288	Vigoroth
MONSNAME_289	Slaking
MONSNAME_290	Nincada
MONSNAME_291	Ninjask
MONSNAME_292	Shedinja
MONSNAME_293	Whismur
MONSNAME_294	Loudred
MONSNAME_295	Exploud
MONSNAME_296	Makuhita
MONSNAME_297	Hariyama
MONSNAME_298	Azurill
MONSNAME_299	Nosepass
MONSNAME_300	Skitty
MONSNAME_301	Delcatty
MONSNAME_302	Sableye
MONSNAME_303	Mawile
MONSNAME_304	Aron
MONSNAME_305	Lairon
MONSNAME_306	Aggron
MONSNAME_307	Meditite
MONSNAME_308	Medicham
MONSNAME_309	Electrike
MONSNAME_310	Manectric
MONSNAME_311	Plusle
MONSNAME_312	Minun
MONSNAME_313	Volbeat
MONSNAME_314	Illumise
MONSNAME_315	Roselia
MONSNAME_316	Gulpin
MONSNAME_317	Swalot
MONSNAME_318	Carvanha
MONSNAME_319	Sharpedo
MONSNAME_320	Wailmer
MONSNAME_321	Wailord
MONSNAME_322	Numel
MONSNAME_323	Camerupt
MONSNAME_324	Torkoal
MONSNAME_325	Spoink
MONSNAME_326	Grumpig
MONSNAME_327	Spinda
MONSNAME_328	Trapinch
MONSNAME_329	Vibrava
MONSNAME_330	Flygon
MONSNAME_331	Cacnea
MONSNAME_332	Cacturne
MONSNAME_333	Swablu
MONSNAME_334	Altaria
MONSNAME_335	Zangoose
MONSNAME_336	Seviper
MONSNAME_337	Lunatone
MONSNAME_338	Solrock
MONSNAME_339	Barboach
MONSNAME_340	Whiscash
MONSNAME_341	Corphish
MONSNAME_342	Crawdaunt
MONSNAME_343	Baltoy
MONSNAME_344	Claydol
MONSNAME_345	Lileep
MONSNAME_346	Cradily
MONSNAME_347	Anorith
MONSNAME_348	Armaldo
MONSNAME_349	Feebas
MONSNAME_350	Milotic
MONSNAME_351	Castform
MONSNAME_352	Kecleon
MONSNAME_353	Shuppet
MONSNAME_354	Banette
MONSNAME_355	Duskull
MONSNAME_356	Dusclops
MONSNAME_357	Tropius
MONSNAME_358	Chimecho
MONSNAME_359	Absol
MONSNAME_360	Wynaut
MONSNAME_361	Snorunt
MONSNAME_362	Glalie
MONSNAME_363	Spheal
MONSNAME_364	Sealeo
MONSNAME_365	Walrein
MONSNAME_366	Clamperl
MONSNAME_367	Huntail
MONSNAME_368	Gorebyss
MONSNAME_369	Relicanth
MONSNAME_370	Luvdisc
MONSNAME_371	Bagon
MONSNAME_372	Shelgon
MONSNAME_373	Salamence
MONSNAME_374	Beldum
MONSNAME_375	Metang
MONSNAME_376	Metagross
MONSNAME_377	Regirock
MONSNAME_378	Regice
MONSNAME_379	Registeel
MONSNAME_380	Latias
MONSNAME_381	Latios
MONSNAME_382	Kyogre
MONSNAME_383	Groudon
MONSNAME_384	Rayquaza
MONSNAME_385	Jirachi
MONSNAME_386	Deoxys
MONSNAME_387	Turtwig
MONSNAME_388	Grotle
MONSNAME_389	Torterra
MONSNAME_390	Chimchar
MONSNAME_391	Monferno
MONSNAME_392	Infernape
MONSNAME_393	Piplup
MONSNAME_394	Prinplup
MONSNAME_395	Empoleon
MONSNAME_396	Starly
MONSNAME_397	Staravia
MONSNAME_398	Staraptor
MONSNAME_399	Bidoof
MONSNAME_400	Bibarel
MONSNAME_401	Kricketot
MONSNAME_402	Kricketune
MONSNAME_403	Shinx
MONSNAME_404	Luxio
MONSNAME_405	Luxray
MONSNAME_406	Budew
MONSNAME_407	Roserade
MONSNAME_408	Cranidos
MONSNAME_409	Rampardos
MONSNAME_410	Shieldon
MONSNAME_411	Bastiodon
MONSNAME_412	Burmy
MONSNAME_413	Wormadam
MONSNAME_414	Mothim
MONSNAME_415	Combee
MONSNAME_416	Vespiquen
MONSNAME_417	Pachirisu
MONSNAME_418	Buizel
MONSNAME_419	Floatzel
MONSNAME_420	Cherubi
MONSNAME_421	Cherrim
MONSNAME_422	Shellos
MONSNAME_423	Gastrodon
MONSNAME_424	Ambipom
MONSNAME_425	Drifloon
MONSNAME_426	Drifblim
MONSNAME_427	Buneary
MONSNAME_428	Lopunny
MONSNAME_429	Mismagius
MONSNAME_430	Honchkrow
MONSNAME_431	Glameow
MONSNAME_432	Purugly
MONSNAME_433	Chingling
MONSNAME_434	Stunky
MONSNAME_435	Skuntank
MONSNAME_436	Bronzor
MONSNAME_437	Bronzong
MONSNAME_438	Bonsly
MONSNAME_439	Mime Jr.
MONSNAME_440	Happiny
MONSNAME_441	Chatot
MONSNAME_442	Spiritomb
MONSNAME_443	Gible
MONSNAME_444	Gabite
MONSNAME_445	Garchomp
MONSNAME_446	Munchlax
MONSNAME_447	Riolu
MONSNAME_448	Lucario
MONSNAME_449	Hippopotas
MONSNAME_450	Hippowdon
MONSNAME_451	Skorupi
MONSNAME_452	Drapion
MONSNAME_453	Croagunk
MONSNAME_454	Toxicroak
MONSNAME_455	Carnivine
MONSNAME_456	Finneon
MONSNAME_457	Lumineon
MONSNAME_458	Mantyke
MONSNAME_459	Snover
MONSNAME_460	Abomasnow
MONSNAME_461	Weavile
MONSNAME_462	Magnezone
MONSNAME_463	Lickilicky
MONSNAME_464	Rhyperior
MONSNAME_465	Tangrowth
MONSNAME_466	Electivire
MONSNAME_467	Magmortar
MONSNAME_468	Togekiss
MONSNAME_469	Yanmega
MONSNAME_470	Leafeon
MONSNAME_471	Glaceon
MONSNAME_472	Gliscor
MONSNAME_473	Mamoswine
MONSNAME_474	Porygon-Z
MONSNAME_475	Gallade
MONSNAME_476	Probopass
MONSNAME_477	Dusknoir
MONSNAME_478	Froslass
MONSNAME_479	Rotom
MONSNAME_480	Uxie
MONSNAME_481	Mesprit
MONSNAME_482	Azelf
MONSNAME_483	Dialga
MONSNAME_484	Palkia
MONSNAME_485	Heatran
MONSNAME_486	Regigigas
MONSNAME_487	Giratina
MONSNAME_488	Cresselia
MONSNAME_489	Phione
MONSNAME_490	Manaphy
MONSNAME_491	Darkrai
MONSNAME_492	Shaymin
MONSNAME_493	Arceus
MONSNAME_494	Victini
MONSNAME_495	Snivy
MONSNAME_496	Servine
MONSNAME_497	Serperior
MONSNAME_498	Tepig
MONSNAME_499	Pignite
MONSNAME_500	Emboar
MONSNAME_501	Oshawott
MONSNAME_502	Dewott
MONSNAME_503	Samurott
MONSNAME_504	Patrat
MONSNAME_505	Watchog
MONSNAME_506	Lillipup
MONSNAME_507	Herdier
MONSNAME_508	Stoutland
MONSNAME_509	Purrloin
MONSNAME_510	Liepard
MONSNAME_511	Pansage
MONSNAME_512	Simisage
MONSNAME_513	Pansear
MONSNAME_514	Simisear
MONSNAME_515	Panpour
MONSNAME_516	Simipour
MONSNAME_517	Munna
MONSNAME_518	Musharna
MONSNAME_519	Pidove
MONSNAME_520	Tranquill
MONSNAME_521	Unfezant
MONSNAME_522	Blitzle
MONSNAME_523	Zebstrika
MONSNAME_524	Roggenrola
MONSNAME_525	Boldore
MONSNAME_526	Gigalith
MONSNAME_527	Woobat
MONSNAME_528	Swoobat
MONSNAME_529	Drilbur
MONSNAME_530	Excadrill
MONSNAME_531	Audino
MONSNAME_532	Timburr
MONSNAME_533	Gurdurr
MONSNAME_534	Conkeldurr
MONSNAME_535	Tympole
MONSNAME_536	Palpitoad
MONSNAME_537	Seismitoad
MONSNAME_538	Throh
MONSNAME_539	Sawk
MONSNAME_540	Sewaddle
MONSNAME_541	Swadloon
MONSNAME_542	Leavanny
MONSNAME_543	Venipede
MONSNAME_544	Whirlipede
MONSNAME_545	Scolipede
MONSNAME_546	Cottonee
MONSNAME_547	Whimsicott
MONSNAME_548	Petilil
MONSNAME_549	Lilligant
MONSNAME_550	Basculin
MONSNAME_551	Sandile
MONSNAME_552	Krokorok
MONSNAME_553	Krookodile
MONSNAME_554	Darumaka
MONSNAME_555	Darmanitan
MONSNAME_556	Maractus
MONSNAME_557	Dwebble
MONSNAME_558	Crustle
MONSNAME_559	Scraggy
MONSNAME_560	Scrafty
MONSNAME_561	Sigilyph
MONSNAME_562	Yamask
MONSNAME_563	Cofagrigus
MONSNAME_564	Tirtouga
MONSNAME_565	Carracosta
MONSNAME_566	Archen
MONSNAME_567	Archeops
MONSNAME_568	Trubbish
MONSNAME_569	Garbodor
MONSNAME_570	Zorua
MONSNAME_571	Zoroark
MONSNAME_572	Minccino
MONSNAME_573	Cinccino
MONSNAME_574	Gothita
MONSNAME_575	Gothorita
MONSNAME_576	Gothitelle
MONSNAME_577	Solosis
MONSNAME_578	Duosion
MONSNAME_579	Reuniclus
MONSNAME_580	Ducklett
MONSNAME_581	Swanna
MONSNAME_582	Vanillite
MONSNAME_583	Vanillish
MONSNAME_584	Vanilluxe
MONSNAME_585	Deerling
MONSNAME_586	Sawsbuck
MONSNAME_587	Emolga
MONSNAME_588	Karrablast
MONSNAME_589	Escavalier
MONSNAME_590	Foongus
MONSNAME_591	Amoonguss
MONSNAME_592	Frillish
MONSNAME_593	Jellicent
MONSNAME_594	Alomomola
MONSNAME_595	Joltik
MONSNAME_596	Galvantula
MONSNAME_597	Ferroseed
MONSNAME_598	Ferrothorn
MONSNAME_599	Klink
MONSNAME_600	Klang
MONSNAME_601	Klinklang
MONSNAME_602	Tynamo
MONSNAME_603	Eelektrik
MONSNAME_604	Eelektross
MONSNAME_605	Elgyem
MONSNAME_606	Beheeyem
MONSNAME_607	Litwick
MONSNAME_608	Lampent
MONSNAME_609	Chandelure
MONSNAME_610	Axew
MONSNAME_611	Fraxure
MONSNAME_612	Haxorus
MONSNAME_613	Cubchoo
MONSNAME_614	Beartic
MONSNAME_615	Cryogonal
MONSNAME_616	Shelmet
MONSNAME_617	Accelgor
MONSNAME_618	Stunfisk
MONSNAME_619	Mienfoo
MONSNAME_620	Mienshao
MONSNAME_621	Druddigon
MONSNAME_622	Golett
MONSNAME_623	Golurk
MONSNAME_624	Pawniard
MONSNAME_625	Bisharp
MONSNAME_626	Bouffalant
MONSNAME_627	Rufflet
MONSNAME_628	Braviary
MONSNAME_629	Vullaby
MONSNAME_630	Mandibuzz
MONSNAME_631	Heatmor
MONSNAME_632	Durant
MONSNAME_633	Deino
MONSNAME_634	Zweilous
MONSNAME_635	Hydreigon
MONSNAME_636	Larvesta
MONSNAME_637	Volcarona
MONSNAME_638	Cobalion
MONSNAME_639	Terrakion
MONSNAME_640	Virizion
MONSNAME_641	Tornadus
MONSNAME_642	Thundurus
MONSNAME_643	Reshiram
MONSNAME_644	Zekrom
MONSNAME_645	Landorus
MONSNAME_646	Kyurem
MONSNAME_647	Keldeo
MONSNAME_648	Meloetta
MONSNAME_649	Genesect
MONSNAME_650	Chespin
MONSNAME_651	Quilladin
MONSNAME_652	Chesnaught
MONSNAME_653	Fennekin
MONSNAME_654	Braixen
MONSNAME_655	Delphox
MONSNAME_656	Froakie
MONSNAME_657	Frogadier
MONSNAME_658	Greninja
MONSNAME_659	Bunnelby
MONSNAME_660	Diggersby
MONSNAME_661	Fletchling
MONSNAME_662	Fletchinder
MONSNAME_663	Talonflame
MONSNAME_664	Scatterbug
MONSNAME_665	Spewpa
MONSNAME_666	Vivillon
MONSNAME_667	Litleo
MONSNAME_668	Pyroar
MONSNAME_669	Flabébé
MONSNAME_670	Floette
MONSNAME_671	Florges
MONSNAME_672	Skiddo
MONSNAME_673	Gogoat
MONSNAME_674	Pancham
MONSNAME_675	Pangoro
MONSNAME_676	Furfrou
MONSNAME_677	Espurr
MONSNAME_678	Meowstic
MONSNAME_679	Honedge
MONSNAME_680	Doublade
MONSNAME_681	Aegislash
MONSNAME_682	Spritzee
MONSNAME_683	Aromatisse
MONSNAME_684	Swirlix
MONSNAME_685	Slurpuff
MONSNAME_686	Inkay
MONSNAME_687	Malamar
MONSNAME_688	Binacle
MONSNAME_689	Barbaracle
MONSNAME_690	Skrelp
MONSNAME_691	Dragalge
MONSNAME_692	Clauncher
MONSNAME_693	Clawitzer
MONSNAME_694	Helioptile
MONSNAME_695	Heliolisk
MONSNAME_696	Tyrunt
MONSNAME_697	Tyrantrum
MONSNAME_698	Amaura
MONSNAME_699	Aurorus
MONSNAME_700	Sylveon
MONSNAME_701	Hawlucha
MONSNAME_702	Dedenne
MONSNAME_703	Carbink
MONSNAME_704	Goomy
MONSNAME_705	Sliggoo
MONSNAME_706	Goodra
MONSNAME_707	Klefki
MONSNAME_708	Phantump
MONSNAME_709	Trevenant
MONSNAME_710	Pumpkaboo
MONSNAME_711	Gourgeist
MONSNAME_712	Bergmite
MONSNAME_713	Avalugg
MONSNAME_714	Noibat
MONSNAME_715	Noivern
MONSNAME_716	Xerneas
MONSNAME_717	Yveltal
MONSNAME_718	Zygarde
MONSNAME_719	Diancie
MONSNAME_720	Hoopa
MONSNAME_721	Volcanion
MONSNAME_722	Rowlet
MONSNAME_723	Dartrix
MONSNAME_724	Decidueye
MONSNAME_725	Litten
MONSNAME_726	Torracat
MONSNAME_727	Incineroar
MONSNAME_728	Popplio
MONSNAME_729	Brionne
MONSNAME_730	Primarina
MONSNAME_731	Pikipek
MONSNAME_732	Trumbeak
MONSNAME_733	Toucannon
MONSNAME_734	Yungoos
MONSNAME_735	Gumshoos
MONSNAME_736	Grubbin
MONSNAME_737	Charjabug
MONSNAME_738	Vikavolt
MONSNAME_739	Crabrawler
MONSNAME_740	Crabominable
MONSNAME_741	Oricorio
MONSNAME_742	Cutiefly
MONSNAME_743	Ribombee
MONSNAME_744	Rockruff
MONSNAME_745	Lycanroc
MONSNAME_746	Wishiwashi
MONSNAME_747	Mareanie
MONSNAME_748	Toxapex
MONSNAME_749	Mudbray
MONSNAME_750	Mudsdale
MONSNAME_751	Dewpider
MONSNAME_752	Araquanid
MONSNAME_753	Fomantis
MONSNAME_754	Lurantis
MONSNAME_755	Morelull
MONSNAME_756	Shiinotic
MONSNAME_757	Salandit
MONSNAME_758	Salazzle
MONSNAME_759	Stufful
MONSNAME_760	Bewear
MONSNAME_761	Bounsweet
MONSNAME_762	Steenee
MONSNAME_763	Tsareena
MONSNAME_764	Comfey
MONSNAME_765	Oranguru
MONSNAME_766	Passimian
MONSNAME_767	Wimpod
MONSNAME_768	Golisopod
MONSNAME_769	Sandygast
MONSNAME_770	Palossand
MONSNAME_771	Pyukumuku
MONSNAME_772	Tipo Zero
MONSNAME_773	Silvally
MONSNAME_774	Minior
MONSNAME_775	Komala
MONSNAME_776	Turtonator
MONSNAME_777	Togedemaru
MONSNAME_778	Mimikyu
MONSNAME_779	Bruxish
MONSNAME_780	Drampa
MONSNAME_781	Dhelmise
MONSNAME_782	Jangmo-o
MONSNAME_783	Hakamo-o
MONSNAME_784	Kommo-o
MONSNAME_785	Tapu Koko
MONSNAME_786	Tapu Lele
MONSNAME_787	Tapu Bulu
MONSNAME_788	Tapu Fini
MONSNAME_789	Cosmog
MONSNAME_790	Cosmoem
MONSNAME_791	Solgaleo
MONSNAME_792	Lunala
MONSNAME_793	Nihilego
MONSNAME_794	Buzzwole
MONSNAME_795	Pheromosa
MONSNAME_796	Xurkitree
MONSNAME_797	Celesteela
MONSNAME_798	Kartana
MONSNAME_799	Guzzlord
MONSNAME_800	Necrozma
MONSNAME_801	Magearna
MONSNAME_802	Marshadow
MONSNAME_803	Poipole
MONSNAME_804	Naganadel
MONSNAME_805	Stakataka
MONSNAME_806	Blacephalon
MONSNAME_807	Zeraora
MONSNAME_808	Meltan
MONSNAME_809	Melmetal
MONSNAME_810	Grookey
MONSNAME_811	Thwackey
MONSNAME_812	Rillaboom
MONSNAME_813	Scorbunny
MONSNAME_814	Raboot
MONSNAME_815	Cinderace
MONSNAME_816	Sobble
MONSNAME_817	Drizzile
MONSNAME_818	Inteleon
MONSNAME_819	Skwovet
MONSNAME_820	Greedent
MONSNAME_821	Rookidee
MONSNAME_822	Corvisquire
MONSNAME_823	Corviknight
MONSNAME_824	Blipbug
MONSNAME_825	Dottler
MONSNAME_826	Orbeetle
MONSNAME_827	Nickit
MONSNAME_828	Thievul
MONSNAME_829	Gossifleur
MONSNAME_830	Eldegoss
MONSNAME_831	Wooloo
MONSNAME_832	Dubwool
MONSNAME_833	Chewtle
MONSNAME_834	Drednaw
MONSNAME_835	Yamper
MONSNAME_836	Boltund
MONSNAME_837	Rolycoly
MONSNAME_838	Carkol
MONSNAME_839	Coalossal
MONSNAME_840	Applin
MONSNAME_841	Flapple
MONSNAME_842	Appletun
MONSNAME_843	Silicobra
MONSNAME_844	Sandaconda
MONSNAME_845	Cramorant
MONSNAME_846	Arrokuda
MONSNAME_847	Barraskewda
MONSNAME_848	Toxel
MONSNAME_849	Toxtricity
MONSNAME_850	Sizzlipede
MONSNAME_851	Centiskorch
MONSNAME_852	Clobbopus
MONSNAME_853	Grapploct
MONSNAME_854	Sinistea
MONSNAME_855	Polteageist
MONSNAME_856	Hatenna
MONSNAME_857	Hattrem
MONSNAME_858	Hatterene
MONSNAME_859	Impidimp
MONSNAME_860	Morgrem
MONSNAME_861	Grimmsnarl
MONSNAME_862	Obstagoon
MONSNAME_863	Perrserker
MONSNAME_864	Cursola
MONSNAME_865	Sirfetch'd
MONSNAME_866	Mr. Rime
MONSNAME_867	Runerigus
MONSNAME_868	Milcery
MONSNAME_869	Alcremie
MONSNAME_870	Falinks
MONSNAME_871	Pincurchin
MONSNAME_872	Snom
MONSNAME_873	Frosmoth
MONSNAME_874	Stonjourner
MONSNAME_875	Eiscue
MONSNAME_876	Indeedee
MONSNAME_877	Morpeko
MONSNAME_878	Cufant
MONSNAME_879	Copperajah
MONSNAME_880	Dracozolt
MONSNAME_881	Arctozolt
MONSNAME_882	Dracovish
MONSNAME_883	Arctovish
MONSNAME_884	Duraludon
MONSNAME_885	Dreepy
MONSNAME_886	Drakloak
MONSNAME_887	Dragapult
MONSNAME_888	Zacian
MONSNAME_889	Zamazenta
MONSNAME_890	Eternatus
MONSNAME_891	Kubfu
MONSNAME_892	Urshifu
MONSNAME_893	Zarude

~~~~~~~~~~~~~~~
Text File : place_name_spe_ita.msbt
~~~~~~~~~~~~~~~
MAPNAME_KANTO	Kanto
MAPNAME_ZYOTO	Johto
MAPNAME_HOUEN	Hoenn
MAPNAME_SINOH	Sinnoh
MAPNAME_TOOKUHANARETATOTI	Terra Lontana
MAPNAME_IISHU	Unima
MAPNAME_KAROSU	Kalos
MAPNAME_HOLOHOLO	Pokémon GO
MAPNAME_VCKANTOH	Kanto
MAPNAME_AROORA	Alola
MAPNAME_VCZYOTO	Johto
MAPNAME_LETSGO	Kanto
MAPNAME_GARARU	Galar
MAPNAME_HOME	Pokémon HOME

~~~~~~~~~~~~~~~
Text File : ribbon_ita.msbt
~~~~~~~~~~~~~~~
mes_ribbon_name_001	Fiocco Campione Kalos
mes_ribbon_name_002	Fiocco Campione
mes_ribbon_name_003	Fiocco Campione Sinnoh
mes_ribbon_name_004	Fiocco Amicizia
mes_ribbon_name_005	Fiocco Training
mes_ribbon_name_006	Fiocco Asso della Lotta
mes_ribbon_name_007	Fiocco Genio della Lotta
mes_ribbon_name_008	Fiocco Merito
mes_ribbon_name_009	Fiocco Allarme
mes_ribbon_name_010	Fiocco Stupore
mes_ribbon_name_011	Fiocco Sconforto
mes_ribbon_name_012	Fiocco Indolenza
mes_ribbon_name_013	Fiocco Relax
