~~~~~~~~~~~~~~~
Text File : itemname_esp.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	Ningún objeto
MONSNAME_536	Palpitoad
MONSNAME_537	Seismitoad
MONSNAME_538	Throh
MONSNAME_539	Sawk
MONSNAME_540	Sewaddle
MONSNAME_541	Swadloon
MONSNAME_542	Leavanny
MONSNAME_543	Venipede
MONSNAME_544	Whirlipede
MONSNAME_545	Scolipede
MONSNAME_546	Cottonee
MONSNAME_547	Whimsicott
MONSNAME_548	Petilil
MONSNAME_549	Lilligant
MONSNAME_550	Basculin
MONSNAME_551	Sandile
MONSNAME_552	Krokorok
MONSNAME_553	Krookodile
MONSNAME_554	Darumaka
MONSNAME_555	Darmanitan
MONSNAME_556	Maractus
MONSNAME_557	Dwebble
MONSNAME_558	Crustle
MONSNAME_559	Scraggy
MONSNAME_560	Scrafty
MONSNAME_561	Sigilyph
MONSNAME_562	Yamask
MONSNAME_563	Cofagrigus
MONSNAME_564	Tirtouga
MONSNAME_565	Carracosta
MONSNAME_566	Archen
MONSNAME_567	Archeops
MONSNAME_568	Trubbish
MONSNAME_569	Garbodor
MONSNAME_570	Zorua
MONSNAME_571	Zoroark
MONSNAME_572	Minccino
MONSNAME_573	Cinccino
MONSNAME_574	Gothita
MONSNAME_575	Gothorita
MONSNAME_576	Gothitelle
MONSNAME_577	Solosis
MONSNAME_578	Duosion
MONSNAME_579	Reuniclus
MONSNAME_580	Ducklett
MONSNAME_581	Swanna
MONSNAME_582	Vanillite
MONSNAME_583	Vanillish
MONSNAME_584	Vanilluxe
MONSNAME_585	Deerling
MONSNAME_586	Sawsbuck
MONSNAME_587	Emolga
MONSNAME_588	Karrablast
MONSNAME_589	Escavalier
MONSNAME_590	Foongus
MONSNAME_591	Amoonguss
MONSNAME_592	Frillish
MONSNAME_593	Jellicent
MONSNAME_594	Alomomola
MONSNAME_595	Joltik
MONSNAME_596	Galvantula
MONSNAME_597	Ferroseed
MONSNAME_598	Ferrothorn
MONSNAME_599	Klink
MONSNAME_600	Klang
MONSNAME_601	Klinklang
MONSNAME_602	Tynamo
MONSNAME_603	Eelektrik
MONSNAME_604	Eelektross
MONSNAME_605	Elgyem
MONSNAME_606	Beheeyem
MONSNAME_607	Litwick
MONSNAME_608	Lampent
MONSNAME_609	Chandelure
MONSNAME_610	Axew
MONSNAME_611	Fraxure
MONSNAME_612	Haxorus
MONSNAME_613	Cubchoo
MONSNAME_614	Beartic
MONSNAME_615	Cryogonal
MONSNAME_616	Shelmet
MONSNAME_617	Accelgor
MONSNAME_618	Stunfisk
MONSNAME_619	Mienfoo
MONSNAME_620	Mienshao
MONSNAME_621	Druddigon
MONSNAME_622	Golett
MONSNAME_623	Golurk
MONSNAME_624	Pawniard
MONSNAME_625	Bisharp
MONSNAME_626	Bouffalant
MONSNAME_627	Rufflet
MONSNAME_628	Braviary
MONSNAME_629	Vullaby
MONSNAME_630	Mandibuzz
MONSNAME_631	Heatmor
MONSNAME_632	Durant
MONSNAME_633	Deino
MONSNAME_634	Zweilous
MONSNAME_635	Hydreigon
MONSNAME_636	Larvesta
MONSNAME_637	Volcarona
MONSNAME_638	Cobalion
MONSNAME_639	Terrakion
MONSNAME_640	Virizion
MONSNAME_641	Tornadus
MONSNAME_642	Thundurus
MONSNAME_643	Reshiram
MONSNAME_644	Zekrom
MONSNAME_645	Landorus
MONSNAME_646	Kyurem
MONSNAME_647	Keldeo
MONSNAME_648	Meloetta
MONSNAME_649	Genesect
MONSNAME_650	Chespin
MONSNAME_651	Quilladin
MONSNAME_652	Chesnaught
MONSNAME_653	Fennekin
MONSNAME_654	Braixen
MONSNAME_655	Delphox
MONSNAME_656	Froakie
MONSNAME_657	Frogadier
MONSNAME_658	Greninja
MONSNAME_659	Bunnelby
MONSNAME_660	Diggersby
MONSNAME_661	Fletchling
MONSNAME_662	Fletchinder
MONSNAME_663	Talonflame
MONSNAME_664	Scatterbug
MONSNAME_665	Spewpa
MONSNAME_666	Vivillon
MONSNAME_667	Litleo
MONSNAME_668	Pyroar
MONSNAME_669	Flabébé
MONSNAME_670	Floette
MONSNAME_671	Florges
MONSNAME_672	Skiddo
MONSNAME_673	Gogoat
MONSNAME_674	Pancham
MONSNAME_675	Pangoro
MONSNAME_676	Furfrou
MONSNAME_677	Espurr
MONSNAME_678	Meowstic
MONSNAME_679	Honedge
MONSNAME_680	Doublade
MONSNAME_681	Aegislash
MONSNAME_682	Spritzee
MONSNAME_683	Aromatisse
MONSNAME_684	Swirlix
MONSNAME_685	Slurpuff
MONSNAME_686	Inkay
MONSNAME_687	Malamar
MONSNAME_688	Binacle
MONSNAME_689	Barbaracle
MONSNAME_690	Skrelp
MONSNAME_691	Dragalge
MONSNAME_692	Clauncher
MONSNAME_693	Clawitzer
MONSNAME_694	Helioptile
MONSNAME_695	Heliolisk
MONSNAME_696	Tyrunt
MONSNAME_697	Tyrantrum
MONSNAME_698	Amaura
MONSNAME_699	Aurorus
MONSNAME_700	Sylveon
MONSNAME_701	Hawlucha
MONSNAME_702	Dedenne
MONSNAME_703	Carbink
MONSNAME_704	Goomy
MONSNAME_705	Sliggoo
MONSNAME_706	Goodra
MONSNAME_707	Klefki
MONSNAME_708	Phantump
MONSNAME_709	Trevenant
MONSNAME_710	Pumpkaboo
MONSNAME_711	Gourgeist
MONSNAME_712	Bergmite
MONSNAME_713	Avalugg
MONSNAME_714	Noibat
MONSNAME_715	Noivern
MONSNAME_716	Xerneas
MONSNAME_717	Yveltal
MONSNAME_718	Zygarde
MONSNAME_719	Diancie
MONSNAME_720	Hoopa
MONSNAME_721	Volcanion
MONSNAME_722	Rowlet
MONSNAME_723	Dartrix
MONSNAME_724	Decidueye
MONSNAME_725	Litten
MONSNAME_726	Torracat
MONSNAME_727	Incineroar
MONSNAME_728	Popplio
MONSNAME_729	Brionne
MONSNAME_730	Primarina
MONSNAME_731	Pikipek
MONSNAME_732	Trumbeak
MONSNAME_733	Toucannon
MONSNAME_734	Yungoos
MONSNAME_735	Gumshoos
MONSNAME_736	Grubbin
MONSNAME_737	Charjabug
MONSNAME_738	Vikavolt
MONSNAME_739	Crabrawler
MONSNAME_740	Crabominable
MONSNAME_741	Oricorio
MONSNAME_742	Cutiefly
MONSNAME_743	Ribombee
MONSNAME_744	Rockruff
MONSNAME_745	Lycanroc
MONSNAME_746	Wishiwashi
MONSNAME_747	Mareanie
MONSNAME_748	Toxapex
MONSNAME_749	Mudbray
MONSNAME_750	Mudsdale
MONSNAME_751	Dewpider
MONSNAME_752	Araquanid
MONSNAME_753	Fomantis
MONSNAME_754	Lurantis
MONSNAME_755	Morelull
MONSNAME_756	Shiinotic
MONSNAME_757	Salandit
MONSNAME_758	Salazzle
MONSNAME_759	Stufful
MONSNAME_760	Bewear
MONSNAME_761	Bounsweet
MONSNAME_762	Steenee
MONSNAME_763	Tsareena
MONSNAME_764	Comfey
MONSNAME_765	Oranguru
MONSNAME_766	Passimian
MONSNAME_767	Wimpod
MONSNAME_768	Golisopod
MONSNAME_769	Sandygast
MONSNAME_770	Palossand
MONSNAME_771	Pyukumuku
MONSNAME_772	Código Cero
MONSNAME_773	Silvally
MONSNAME_774	Minior
MONSNAME_775	Komala
MONSNAME_776	Turtonator
MONSNAME_777	Togedemaru
MONSNAME_778	Mimikyu
MONSNAME_779	Bruxish
MONSNAME_780	Drampa
MONSNAME_781	Dhelmise
MONSNAME_782	Jangmo-o
MONSNAME_783	Hakamo-o
MONSNAME_784	Kommo-o
MONSNAME_785	Tapu Koko
MONSNAME_786	Tapu Lele
MONSNAME_787	Tapu Bulu
MONSNAME_788	Tapu Fini
MONSNAME_789	Cosmog
MONSNAME_790	Cosmoem
MONSNAME_791	Solgaleo
MONSNAME_792	Lunala
MONSNAME_793	Nihilego
MONSNAME_794	Buzzwole
MONSNAME_795	Pheromosa
MONSNAME_796	Xurkitree
MONSNAME_797	Celesteela
MONSNAME_798	Kartana
MONSNAME_799	Guzzlord
MONSNAME_800	Necrozma
MONSNAME_801	Magearna
MONSNAME_802	Marshadow
MONSNAME_803	Poipole
MONSNAME_804	Naganadel
MONSNAME_805	Stakataka
MONSNAME_806	Blacephalon
MONSNAME_807	Zeraora
MONSNAME_808	Meltan
MONSNAME_809	Melmetal
MONSNAME_810	Grookey
MONSNAME_811	Thwackey
MONSNAME_812	Rillaboom
MONSNAME_813	Scorbunny
MONSNAME_814	Raboot
MONSNAME_815	Cinderace
MONSNAME_816	Sobble
MONSNAME_817	Drizzile
MONSNAME_818	Inteleon
MONSNAME_819	Skwovet
MONSNAME_820	Greedent
MONSNAME_821	Rookidee
MONSNAME_822	Corvisquire
MONSNAME_823	Corviknight
MONSNAME_824	Blipbug
MONSNAME_825	Dottler
MONSNAME_826	Orbeetle
MONSNAME_827	Nickit
MONSNAME_828	Thievul
MONSNAME_829	Gossifleur
MONSNAME_830	Eldegoss
MONSNAME_831	Wooloo
MONSNAME_832	Dubwool
MONSNAME_833	Chewtle
MONSNAME_834	Drednaw
MONSNAME_835	Yamper
MONSNAME_836	Boltund
MONSNAME_837	Rolycoly
MONSNAME_838	Carkol
MONSNAME_839	Coalossal
MONSNAME_840	Applin
MONSNAME_841	Flapple
MONSNAME_842	Appletun
MONSNAME_843	Silicobra
MONSNAME_844	Sandaconda
MONSNAME_845	Cramorant
MONSNAME_846	Arrokuda
MONSNAME_847	Barraskewda
MONSNAME_848	Toxel
MONSNAME_849	Toxtricity
MONSNAME_850	Sizzlipede
MONSNAME_851	Centiskorch
MONSNAME_852	Clobbopus
MONSNAME_853	Grapploct
MONSNAME_854	Sinistea
MONSNAME_855	Polteageist
MONSNAME_856	Hatenna
MONSNAME_857	Hattrem
MONSNAME_858	Hatterene
MONSNAME_859	Impidimp
MONSNAME_860	Morgrem
MONSNAME_861	Grimmsnarl
MONSNAME_862	Obstagoon
MONSNAME_863	Perrserker
MONSNAME_864	Cursola
MONSNAME_865	Sirfetch'd
MONSNAME_866	Mr. Rime
MONSNAME_867	Runerigus
MONSNAME_868	Milcery
MONSNAME_869	Alcremie
MONSNAME_870	Falinks
MONSNAME_871	Pincurchin
MONSNAME_872	Snom
MONSNAME_873	Frosmoth
MONSNAME_874	Stonjourner
MONSNAME_875	Eiscue
MONSNAME_876	Indeedee
MONSNAME_877	Morpeko
MONSNAME_878	Cufant
MONSNAME_879	Copperajah
MONSNAME_880	Dracozolt
MONSNAME_881	Arctozolt
MONSNAME_882	Dracovish
MONSNAME_883	Arctovish
MONSNAME_884	Duraludon
MONSNAME_885	Dreepy
MONSNAME_886	Drakloak
MONSNAME_887	Dragapult
MONSNAME_888	Zacian
MONSNAME_889	Zamazenta
MONSNAME_890	Eternatus
MONSNAME_891	Kubfu
MONSNAME_892	Urshifu
MONSNAME_893	Zarude
MONSNAME_894	Regieleki
MONSNAME_895	Regidrago
MONSNAME_896	Glastrier
MONSNAME_897	Spectrier
MONSNAME_898	Calyrex

~~~~~~~~~~~~~~~
Text File : place_name_spe_esp.msbt
~~~~~~~~~~~~~~~
